"DATA_ID","STUDY_ID","MULTIPLE_MEASUREMENT","EXPOSURE_DURATION_HOURS","COMMON_CONTROL","AI_NAME","AI_50_TYPE","AI_ERROR_TYPE","FORM_NAME","FORM_50_TYPE","FORM_ERROR_TYPE","SPECIES_NAME_BINOMIAL","STRAIN_CLONE_SOURCE","SPECIES_CLASS","SPECIES_PHYLUM","SPECIES_KINGDOM","ECOSYSTEM","LIFE_STAGE","PESTICIDE_CLASS","SEX","EXPOSURE_ROUTE","ACUTE_CHRONIC_TOXICITY","TEMPERATURE_.C","PH","FEEDING_STATE","AGE_TEST_ORGANISM_HOURS","REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED","WATER_HARDNESS_mg_L_Ca_CO3","SE_SIMULATION_REQUIRED","FORMULATION_TYPE","YEAR_PUBLISHED","NOTES","AI_50","AI_N_INDIVIDUAL","AI_SE_INDIVIDUAL","AI_SE_ESS_0.046","AI_SE_ESS_0.442","AI_SE_CONTAINER","FORM_50","FORM_N_INDIVIDUAL","FORM_SE_INDIVIDUAL","FORM_SE_ESS_0.046","FORM_SE_ESS_0.442","FORM_SE_CONTAINER","LRR","LRR_VAR_INDIVIDUAL","LRR_VAR_CONTAINER_0.046","LRR_VAR_CONTAINER_0.442","LRR_VAR_CONTAINER"
7,"wos28","wos28_1",4,"wos28_a","diuron","EC50","CI_95","Nortox® 500 SC","EC50","CI_95","Ceriodaphnia silvestrii","Lobo-Broa Reservoir","Branchiopoda","Arthropoda","Animalia","Aquatic","neonate","herbicide","n/a","environmental","acute","25","7.3","fed","15","YES","44","NO","Aqueous suspension concentrates",2018,"n/a",7436.4,40,344.88709722755,343.321092051261,329.396456252113,308.378220343053,1029.8,40,31.9870917296767,31.8418501372084,30.5503880726946,28.6010190025738,-1.97702225214402,0.00311575487359322,0.00308752412344609,0.00284215156534544,0.00249101753417098
8,"wos28","wos28_2",4,"wos28_b","carbofuran","EC50","CI_95","Furadan® 350 SC","EC50","CI_95","Ceriodaphnia silvestrii","Lobo-Broa Reservoir","Branchiopoda","Arthropoda","Animalia","Aquatic","neonate","insecticide","n/a","environmental","acute","25","7.3","fed","15","YES","44","NO","Aqueous suspension concentrates",2018,"n/a",0.86,40,0.0494390907722978,0.0492146060853298,0.0472185287058649,0.0442055935124789,1.31,40,0.0593269089267574,0.0590575273023958,0.0566622344470379,0.0530467122149747,0.420850026947644,0.0053557686561763,0.00530724193539355,0.00488546335874778,0.00428188807295766
9,"wos1286","wos1286_1",24,"wos1286_a","glyphosate-IPA","EC50","CI_95","Roundup Ultramax","EC50","CI_95","Lampsilis siliquoidea","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","glochidia","herbicide","n/a","environmental","acute","21.45","8.49","n/a","n/a","YES","164","NO","soluble concentrate",2007,"for multiple_measurement - 24-48h were the same for each life stage, 96h juvenile acute was standalone, then 7-28d were multiple measurements.",5.9,150,1.36638764887057,1.34062654816217,1.08540018632897,0.627519851028558,3,150,0.657890349456203,0.645486856522526,0.522600089713949,0.302139187532268,-0.676340062243564,0.101725529172263,0.0979259364141285,0.0641891886113395,0.0214554209727891
10,"wos1286","wos1286_1",48,"wos1286_b","glyphosate-IPA","EC50","CI_95","Roundup Ultramax","EC50","CI_95","Lampsilis siliquoidea","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","glochidia","herbicide","n/a","environmental","acute","21.45","8.49","n/a","n/a","YES","164","NO","soluble concentrate",2007,"n/a",5,150,1.31578069891241,1.29097371304505,1.0452001794279,0.604278375064537,2.9,150,0.506069499581694,0.496528351171174,0.40200006901073,0.232414759640206,-0.544727175441672,0.0997037506242258,0.095979674161678,0.0629134388009793,0.0210289979282018
11,"wos1286","wos1286_2",48,"wos1286_c","glyphosate-IPA","EC50","CI_95","Roundup Ultramax","EC50","CI_95","Lampsilis siliquoidea","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","juvenile","herbicide","n/a","environmental","acute","21.45","8.49","n/a","168 (post transformation)","YES","164","NO","soluble concentrate",2007,"for juvenile acute testing - roundup vs gly-ipa was suitable as age of juveniles was the same. This was not the case for gly-ipa vs aqua star so these were excluded. ",8.3,21,1.39024487883578,1.36408574690647,1.11036026386814,0.674002802956599,5.9,21,1.24642644309415,1.22297342826098,0.995495408985228,0.604278375064537,-0.341303163890879,0.0726862897275038,0.0699766640937207,0.0463657955399125,0.0170841469423248
12,"wos1286","wos1286_2",96,"wos1286_d","glyphosate-IPA","EC50","CI_95","Roundup Ultramax","EC50","CI_95","Lampsilis siliquoidea","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","juvenile","herbicide","n/a","environmental","acute","21.45","8.49","n/a","168 (post transformation)","YES","164","NO","soluble concentrate",2007,"for juvenile acute testing - roundup vs gly-ipa was suitable as age of juveniles was the same. This was not the case for gly-ipa vs aqua star so these were excluded. ",7.2,21,1.15054748593306,1.12889854916398,0.918918839063288,0.557795423136496,5.9,21,1.24642644309415,1.22297342826098,0.995495408985228,0.604278375064537,-0.199128675110336,0.070165730942209,0.0675500676047778,0.0447579584399114,0.0164917161438045
17,"wos1286","wos1286_4",504,"wos1286_g","glyphosate-IPA","EC50","CI_95","Aqua Star","EC50","CI_95","Lampsilis siliquoidea","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","juvenile","herbicide","n/a","environmental","chronic","21.45","8.49","fed","720 (post transformation)","YES","164","NO","soluble concentrate",2007,"roundup vs gly-ipa could not be included for chronic toxicity tests as one month age difference between juveniles in each group.",5.4,21,1.39024487883578,1.36408574690647,1.11036026386814,0.674002802956599,57.3,21,14.7174199242271,14.4404939413892,11.7545034830179,7.13513312095434,2.36190167015046,0.132253081021871,0.12732290313238,0.0843628053814839,0.0310846939391638
18,"wos1286","wos1286_4",672,"wos1286_h","glyphosate-IPA","EC50","CI_95","Aqua Star","EC50","CI_95","Lampsilis siliquoidea","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","juvenile","herbicide","n/a","environmental","chronic","21.45","8.49","fed","720 (post transformation)","YES","164","NO","soluble concentrate",2007,"roundup vs gly-ipa could not be included for chronic toxicity tests as one month age difference between juveniles in each group.",4.8,21,1.34230540025524,1.31704830735797,1.07207197890717,0.650761326992578,43.8,21,11.6492932950722,11.4300978102853,9.30405324551579,5.64767865925702,2.21101789946856,0.148940121901231,0.143387878504088,0.0950072876969127,0.0350068071669034
19,"wos927","wos927_1",24,"wos927_a","chlorpyrifos","EC50","CI_95","Lorsban","EC50","CI_95","Lampsilis siliquoidea","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","glochidia","insecticide","n/a","environmental","acute","21.2","8.58","n/a","n/a","YES","172","NO","Emulsifiable concentrate",2007,"for atrazine and permethrin experiments were also carried out but there was no effect for either substance over the concentration range carried out. The concentration range for both was less than 3 orders of magnitude and no range finding experiment is mentioned. Therefore, this lac k of effect for both the ais and formulations can't be considered evidence for no difference, rather an inappropriately narrow range of concentrations tested.",0.5,150,0.141699459882874,0.139027938327929,0.112560019323004,0.0650761326992578,0.73,150,0.187245714845227,0.183715489933334,0.14874002553397,0.0859934610668764,0.378436435720245,0.146107700075491,0.140650370301621,0.0921945041134467,0.030816278253782
20,"wos927","wos927_1",48,"wos927_b","chlorpyrifos","EC50","CI_95","Lorsban","EC50","CI_95","Lampsilis siliquoidea","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","glochidia","insecticide","n/a","environmental","acute","21.2","8.58","n/a","n/a","YES","172","NO","Emulsifiable concentrate",2007,"for multiple_measurement - 24-48h were the same for each life stage, 96h juvenile acute was standalone, then 7-21d were multiple measurements.",0.43,150,0.101213899916339,0.0993056702342348,0.0804000138021461,0.0464829519280413,0.6,150,0.151820849874508,0.148958505351352,0.120600020703219,0.0697244278920619,0.333144446528538,0.119430876306826,0.114969963727599,0.0753613287407376,0.0251897409545326
