"DATA_ID","STUDY_ID","AI_NAME","AI_50","AI_50_TYPE","AI_ERROR_LOWER","AI_ERROR_HIGHER","AI_ERROR_TYPE","AI_N_CONTAINER","AI_N_INDIVIDUALS_PER_CONTAINER","AI_N_STRUCTURE","FORM_NAME","FORM_50","FORM_50_TYPE","FORM_ERROR_LOWER","FORM_ERROR_HIGHER","FORM_ERROR_TYPE","FORM_N_CONTAINER","FORM_N_INDIVIDUALS_PER_CONTAINER","FORM_N_STRUCTURE","CI_METHOD","COMMON_CONTROL","MULTIPLE_MEASUREMENT","SPECIES_NAME_BINOMIAL","SPECIES_NAME_COMMON","STRAIN_CLONE_SOURCE","SPECIES_CLASS","SPECIES_PHYLUM","SPECIES_KINGDOM","ECOSYSTEM","LIFE_STAGE","EXPOSURE_DURATION_HOURS","PESTICIDE_CLASS","NANO_FORMULATION","SEX","EXPOSURE_ROUTE","ACUTE_CHRONIC_TOXICITY","TEMPERATURE_.C","PH","FEEDING_STATE","AGE_TEST_ORGANISM_HOURS","REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED","WATER_HARDNESS_mg_L_Ca_CO3","SE_SIMULATION_REQUIRED","FORMULATION_TYPE","FORMULATION_EXPRESSED_IN_AI_CONC","FORMULATION_VALUE_ADJUSTED","YEAR_PUBLISHED","NOTES"
2,"wos2","fenvalerate",118,"LD50","n/a","n/a","n/a",11,1,"11 individuals housed separately","Pydrin 2.4 EC",62,"LD50","5","5","CI_95",11,1,"11 individuals, housed separately","probit","wos2_a","wos2_1","Mus musculus","house mouse","Swiss mice","Mammalia","Chordata","Animalia","Terrestrial","adult",72,"insecticide","NO","male","intraperitoneal","acute","21","n/a","starved","n/a","NO","n/a","YES","Emulsifiable concentrate","YES","n/a",1989,"72h values were extracted where possible. For permetrin 72h all concentrations >50% lethality so a LD50 could not be calculated. "
4,"wos2","permethrin",2321,"LD50","n/a","n/a","n/a",11,1,"11 individuals housed separately","Ambush",429,"LD50","48","165","CI_95",9,1,"9 individuals, housed separately","probit","wos2_c","wos2_3","Mus musculus","house mouse","Swiss mice","Mammalia","Chordata","Animalia","Terrestrial","adult",72,"insecticide","NO","male","intraperitoneal","acute","21","n/a","starved","n/a","NO","n/a","YES","Emulsifiable concentrate","YES","n/a",1989,"72h values were extracted where possible. For permetrin 72h all concentrations >50% lethality so a LD50 could not be calculated. "
6,"wos1303","glyphosate",50,"LC50","n/a","n/a","n/a",3,50,"50 embryos/dish, 3 dishes","Roundup® Power 2.0",24.78,"LC50","0.24","0.26","CI_95",3,50,"50 embryos/dish, 3 dishes","probit","wos1303_a","wos1303_1","Xenopus laevis","african clawed frog","Centre de Ressources Biologiques Xénopes","Amphibia","Chordata","Animalia","Aquatic","embryo",96,"herbicide","NO","n/a","environmental","acute","23","7","n/a","5","YES","n/a","YES","soluble concentrate","YES","n/a",2018,"n/a"
13,"wos1286","glyphosate-IPA",5.9,"EC50","1.9","2.7","CI_95",3,50,"50-100 per vessel","Aqua Star",148,"EC50","n/a","n/a","n/a",3,50,"50-100 per vessel","trimmed spearman–karber","wos1286_a","wos1286_3","Lampsilis siliquoidea","fat muckets","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","glochidia",24,"herbicide","NO","n/a","environmental","acute","21.45","8.49","n/a","n/a","YES","164","YES","soluble concentrate","YES","n/a",2007,"n/a"
14,"wos1286","glyphosate-IPA",5,"EC50","1.7","2.6","CI_95",3,50,"50-100 per vessel","Aqua Star",148,"EC50","n/a","n/a","n/a",3,50,"50-100 per vessel","trimmed spearman–karber","wos1286_b","wos1286_3","Lampsilis siliquoidea","fat muckets","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","glochidia",48,"herbicide","NO","n/a","environmental","acute","21.45","8.49","n/a","n/a","YES","164","YES","soluble concentrate","YES","n/a",2007,"n/a"
15,"wos1286","glyphosate-IPA",7.6,"EC50","3.8","7.7","CI_95",3,7,"7-10 juveniles per vessel","Aqua Star",148,"EC50","n/a","n/a","n/a",3,7,"7-10 juveniles per vessel","trimmed spearman–karber","wos1286_e","wos1286_4","Lampsilis siliquoidea","fat muckets","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","juvenile",168,"herbicide","NO","n/a","environmental","chronic","21.45","8.49","fed","720 (post transformation)","YES","164","YES","soluble concentrate","YES","n/a",2007,"roundup vs gly-ipa could not be included for chronic toxicity tests as one month age difference between juveniles in each group."
16,"wos1286","glyphosate-IPA",6.9,"EC50","4.3","11.6","CI_95",3,7,"7-10 juveniles per vessel","Aqua Star",148,"EC50","n/a","n/a","n/a",3,7,"7-10 juveniles per vessel","trimmed spearman–karber","wos1286_f","wos1286_4","Lampsilis siliquoidea","fat muckets","Silver Fork of Perche Creek","Bivalvia","Mollusca","Animalia","Aquatic","juvenile",336,"herbicide","NO","n/a","environmental","chronic","21.45","8.49","fed","720 (post transformation)","YES","164","YES","soluble concentrate","YES","n/a",2007,"roundup vs gly-ipa could not be included for chronic toxicity tests as one month age difference between juveniles in each group."
33,"wos946","cycloxydim",50,"LC50","n/a","n/a","n/a",2,25,"25 embryos per vessel","Focus Ultra",0.6,"LC50","0.1","0.1","CI_95",2,25,"25 embryos per vessel","probit","wos946_a","wos946_1","Xenopus laevis","african clawed frog","n/a","Amphibia","Chordata","Animalia","Aquatic","embryo",96,"herbicide","NO","n/a","environmental","acute","23","6.85","n/a","8-11 (NF stage)","YES","n/a","YES","Emulsifiable concentrate","YES","n/a",2015,"sample size from FETAX document referenced."
54,"scopus3635","acephate",50000,"EC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","WP 95%",50000,"EC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","litchfield-wilcoxon","scopus3635_e","scopus3635_5","Daphnia magna","water flea","Columbia National Fisheries Research Laboratory","Branchiopoda","Arthropoda","Animalia","Aquatic","neonate",48,"insecticide","NO","n/a","environmental","acute","17","7.4","n/a","1st instar","YES","40","YES","wettable powder","YES","n/a",1983,"sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used."
59,"scopus3635","acephate",50000,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","WP 95%",50000,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","litchfield-wilcoxon","scopus3635_j","scopus3635_10","Gammarus pseudolimnaeus","amphipod","Columbia National Fisheries Research Laboratory","Malacostraca","Arthropoda","Animalia","Aquatic","adult",96,"insecticide","NO","n/a","environmental","acute","17","7.4","n/a","n/a","YES","40","YES","wettable powder","YES","n/a",1983,"sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used."
