concentration,treatment,percent_survival
0.014,termifin,61.25
0.016,termifin,44.37
0.018,termifin,36.25
0.020,termifin,27.5
0.022,termifin,13.75
0.014,termifin,93.26
0.016,termifin,78.23
0.018,termifin,64.24
0.020,termifin,51.81
0.022,termifin,45.59
0.014,termifin,80.95
0.016,termifin,88.09
0.018,termifin,73.8
0.020,termifin,59.52
0.022,termifin,50.00
0.014,termifin,89.5
0.016,termifin,66.85
0.018,termifin,45.85
0.020,termifin,44.19
0.022,termifin,47.51
0.8,glyphosate-IPA,86.4
1.6,glyphosate-IPA,61.6
2.4,glyphosate-IPA,23.2
3.2,glyphosate-IPA,27.2
0.8,glyphosate-IPA,71.6
1.6,glyphosate-IPA,57.1
2.4,glyphosate-IPA,43.7
3.2,glyphosate-IPA,21.3
0.8,glyphosate-IPA,90.3
1.6,glyphosate-IPA,32.4
2.4,glyphosate-IPA,20.5
3.2,glyphosate-IPA,11.5
