DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,COMMON_CONTROL,MULTIPLE_MEASUREMENT,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
1,wos1144,"2,4-Dichlorophenoxyacetic acid",4.118136,LC50,0.071066,0.071066,SE,8,60,"60 eggs/dish, 8 dishes",DMA4®IVM,7.18754,LC50,0.50988,0.50988,SE,8,60,"60 eggs/dish, 8 dishes",three parameter logistic,wos1144_a,wos1144_1,Danio rerio,zebrafish,AB wild type,Teleostei ,Chordata,Animalia,Aquatic,embryo,504,herbicide,NO,n/a,environmental,chronic,28,7.1,n/a,4,NO,n/a,NO,liquid formulation,YES,n/a,2019,n/a
2,wos2,fenvalerate,>118,LD50,n/a,n/a,n/a,11,1,11 individuals housed separately,Pydrin 2.4 EC,62,LD50,5,5,CI_95,11,1,"11 individuals, housed separately",probit,wos2_a,wos2_1,Mus musculus,house mouse,Swiss mice,Mammalia,Chordata,Animalia,Terrestrial,adult,72,insecticide,NO,male,intraperitoneal,acute,21,n/a,starved,n/a,NO,n/a,YES,Emulsifiable concentrate,YES,n/a,1989,72h values were extracted where possible. For permetrin 72h all concentrations >50% lethality so a LD50 could not be calculated. 
3,wos2,fenvalerate,163.56,LD50,13.076,13.076,SE,11,1,11 individuals housed separately,Pydrin 2.4 EC,72,LD50,11,10,CI_95,11,1,"11 individuals, housed separately",probit,wos2_b,wos2_2,Mus musculus,house mouse,Swiss mice,Mammalia,Chordata,Animalia,Terrestrial,adult,72,insecticide,NO,male,gavage,acute,21,n/a,starved,n/a,NO,n/a,NO,Emulsifiable concentrate,YES,n/a,1989,there were only two doses for the ai. So the LD50 is simply the geometric mean of the two dose values. The model fitted is too complex and therefore overfitting. It does show that the one of the ai formulation is more toxic than the other though.
4,wos2,permethrin,>2321,LD50,n/a,n/a,n/a,11,1,11 individuals housed separately,Ambush,429,LD50,48,165,CI_95,9,1,"9 individuals, housed separately",probit,wos2_c,wos2_3,Mus musculus,house mouse,Swiss mice,Mammalia,Chordata,Animalia,Terrestrial,adult,72,insecticide,NO,male,intraperitoneal,acute,21,n/a,starved,n/a,NO,n/a,YES,Emulsifiable concentrate,YES,n/a,1989,72h values were extracted where possible. For permetrin 72h all concentrations >50% lethality so a LD50 could not be calculated. 
5,wos1144,"2,4-Dichlorophenoxyacetic acid",4.277,LC50,0.149,0.149,SE,16,60,"60 eggs/dish, 16 dishes",DMA4®IVM,14.4147,LC50,0.2221,0.2221,SE,12,60,"60 eggs/dish, 12 dishes",three parameter logistic,wos1144_b,wos1144_2,Danio rerio,zebrafish,AB wild type,Teleostei ,Chordata,Animalia,Aquatic,embryo,144,herbicide,NO,n/a,environmental,chronic,28,7.1,n/a,4,NO,n/a,NO,liquid formulation,YES,n/a,2019,n/a
6,wos1303,glyphosate,>50,LC50,n/a,n/a,n/a,3,50,"50 embryos/dish, 3 dishes",Roundup® Power 2.0,24.78,LC50,0.24,0.26,CI_95,3,50,"50 embryos/dish, 3 dishes",probit,wos1303_a,wos1303_1,Xenopus laevis,african clawed frog,Centre de Ressources Biologiques Xénopes,Amphibia,Chordata,Animalia,Aquatic,embryo,96,herbicide,NO,n/a,environmental,acute,23,7,n/a,5,YES,n/a,YES,soluble concentrate,YES,n/a,2018,n/a
7,wos28,diuron,7436.4,EC50,697.6,697.5,CI_95,10,4,"10 tests, with 4 replicates in each",Nortox® 500 SC,1029.8,EC50,64.7,64.6,CI_95,10,4,"10 tests, with 4 replicates in each",three parameter logistic,wos28_a,wos28_1,Ceriodaphnia silvestrii,n/a,Lobo-Broa Reservoir,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,4,herbicide,NO,n/a,environmental,acute,25,7.3,fed,15,YES,44,NO,Aqueous suspension concentrates,YES,n/a,2018,n/a
8,wos28,carbofuran,0.86,EC50,0.1,0.09,CI_95,10,4,"10 tests, with 4 replicates in each",Furadan® 350 SC,1.31,EC50,0.12,0.12,CI_95,10,4,"10 tests, with 4 replicates in each",three parameter logistic,wos28_b,wos28_2,Ceriodaphnia silvestrii,n/a,Lobo-Broa Reservoir,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,4,insecticide,NO,n/a,environmental,acute,25,7.3,fed,15,YES,44,NO,Aqueous suspension concentrates,YES,n/a,2018,n/a
9,wos1286,glyphosate-IPA,5.9,EC50,1.9,2.7,CI_95,3,50,50-100 per vessel,Roundup Ultramax,3,EC50,0.8,1.3,CI_95,3,50,50-100 per vessel,trimmed spearman–karber,wos1286_a,wos1286_1,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,glochidia,24,herbicide,NO,n/a,environmental,acute,21.45,8.49,n/a,n/a,YES,164,NO,soluble concentrate,YES,n/a,2007,"for multiple_measurement - 24-48h were the same for each life stage, 96h juvenile acute was standalone, then 7-28d were multiple measurements."
10,wos1286,glyphosate-IPA,5,EC50,1.7,2.6,CI_95,3,50,50-100 per vessel,Roundup Ultramax,2.9,EC50,0.8,1,CI_95,3,50,50-100 per vessel,trimmed spearman–karber,wos1286_b,wos1286_1,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,glochidia,48,herbicide,NO,n/a,environmental,acute,21.45,8.49,n/a,n/a,YES,164,NO,soluble concentrate,YES,n/a,2007,n/a
