Reference,DOI,
"Adams, E., Gerstle, V., Schmitt, T. & Brühl, C. A. Co-formulants and adjuvants affect the acute aquatic and terrestrial toxicity of a cycloxydim herbicide formulation to European common frogs (Rana temporaria). Science of The Total Environment 789, 147865 (2021).",http://dx.doi.org/10.1016/j.scitotenv.2021.147865,
"Afione Di Cristofano, C., Juárez, Á. B., Moretton, J. & Magdaleno, A. Efectos de metales pesados, glifosato y sus mezclas binarias sobre el crecimiento de algas verdes. Ecol. Austral 31, 053–064 (2021).",NA,
"Agostini, M. G., Natale, G. S. & Ronco, A. E. Lethal and sublethal effects of cypermethrin to Hypsiboas pulchellus tadpoles. Ecotoxicology 19, 1545–1550 (2010).",http://dx.doi.org/10.1007/s10646-010-0539-3,
"Akram, S., Butt, A. & Khan, S. A. Toxicity of Imidacloprid Administered Alone and in Combination with Heavy Metal Lead on Silkworm, Bombyx mori (Lepidoptera: Bombycidae). PJZ 55, (2022).",http://dx.doi.org/10.17582/journal.pjz/20210623070602,
"Allegrini, M., Zabaloy, M. C. & Gómez, E. D. V. Ecotoxicological assessment of soil microbial community tolerance to glyphosate. Science of The Total Environment 533, 60–68 (2015).",http://dx.doi.org/10.1016/j.scitotenv.2015.06.096,
"Amara, A. et al. Toxicity of Epoxiconazole to the Marine Diatom Chaetoceros calcitrans: Influence of Growth Conditions and Algal Development Stage. Water Air Soil Pollut 224, 1417 (2013).",http://dx.doi.org/10.1007/s11270-012-1417-9,
"Aronzon, C. M., Sandoval, M. T., Herkovits, J. & Pérez-Coll, C. S. Stage-dependent toxicity of 2,4-dichlorophenoxyacetic on the embryonic development of a South American toad, Rhinella arenarum. Environ. Toxicol. 26, 373–381 (2011).",http://dx.doi.org/10.1002/tox.20564,
"Bach, N. C., Natale, G. S., Somoza, G. M. & Ronco, A. E. Effect on the growth and development and induction of abnormalities by a glyphosate commercial formulation and its active ingredient during two developmental stages of the South-American Creole frog, Leptodactylus latrans. Environ Sci Pollut Res 23, 23959–23971 (2016).",http://dx.doi.org/10.1007/s11356-016-7631-z,
"Bednářová, A., Kropf, M. & Krishnan, N. The surfactant polyethoxylated tallowamine (POEA) reduces lifespan and inhibits fecundity in Drosophila melanogaster- In vivo and in vitro study. Ecotoxicology and Environmental Safety 188, 109883 (2020).",http://dx.doi.org/10.1016/j.ecoenv.2019.109883,
"Beggel, S., Werner, I., Connon, R. E. & Geist, J. P. Sublethal toxicity of commercial insecticide formulations and their active ingredients to larval fathead minnow (Pimephales promelas). Science of The Total Environment 408, 3169–3175 (2010).",http://dx.doi.org/10.1016/j.scitotenv.2010.04.004,
"Bonfanti, P., Saibene, M., Bacchetta, R., Mantecca, P. & Colombo, A. A glyphosate micro-emulsion formulation displays teratogenicity in Xenopus laevis. Aquatic Toxicology 195, 103–113 (2018).",http://dx.doi.org/10.1016/j.aquatox.2017.12.007,
"Bonnet, J. L., Bonnemoy, F., Dusser, M. & Bohatier, J. Toxicity Assessment of the Herbicides Sulcotrione and Mesotrione Toward Two Reference Environmental Microorganisms: Tetrahymena pyriformis and Vibrio fischeri. Arch Environ Contam Toxicol 55, 576–583 (2008).",http://dx.doi.org/10.1007/s00244-008-9145-2,
"Bradbury, S. P., Coats, J. R. & McKim, J. M. Differential toxicity and uptake of two fenvalerate formulations in fathead minnows (Pimephales promelas). Environ Toxicol Chem 4, 533–541 (1985).",http://dx.doi.org/10.1002/etc.5620040413,
"Bringolf, R. B. et al. ACUTE AND CHRONIC TOXICITY OF PESTICIDE FORMULATIONS (ATRAZINE, CHLORPYRIFOS, AND PERMETHRIN) TO GLOCHIDIA AND JUVENILES OF LAMPSILIS SILIQUOIDEA. Environ Toxicol Chem 26, 2101 (2007).",http://dx.doi.org/10.1897/06-519R1.1,
"Bringolf, R. B., Cope, W. G., Mosher, S., Barnhart, M. C. & Shea, D. ACUTE AND CHRONIC TOXICITY OF GLYPHOSATE COMPOUNDS TO GLOCHIDIA AND JUVENILES OF LAMPSILIS SILIQUOIDEA (UNIONIDAE). Environ Toxicol Chem 26, 2094 (2007).",http://dx.doi.org/10.1897/06-555R.1,
"Buhl, K. J. & Faerber, N. L. Acute toxicity of selected herbicides and surfactants to larvae of the midgeChironomus riparius. Arch. Environ. Contam. Toxicol. 18, 530–536 (1989).",http://dx.doi.org/10.1007/BF01055019,
"Buhl, K. J., Hamilton, S. J. & Schmulbach, J. C. Acute toxicity of the herbicide bromoxynil to Daphnia magna. Environ Toxicol Chem 12, 1455–1468 (1993).",http://dx.doi.org/10.1002/etc.5620120813,
"Closson, K. R. & Paul, E. A. Comparison of the Toxicity of Two Chelated Copper Algaecides and Copper Sulfate to Non-Target Fish. Bull Environ Contam Toxicol 93, 660–665 (2014).",http://dx.doi.org/10.1007/s00128-014-1394-3,
"Contardo-Jara, V. & Gessner, M. O. Uptake and physiological effects of the neonicotinoid imidacloprid and its commercial formulation Confidor® in a widespread freshwater oligochaete. Environmental Pollution 264, 114793 (2020).",http://dx.doi.org/10.1016/j.envpol.2020.114793,
"Cuhra, M., Traavik, T. & Bøhn, T. Clone- and age-dependent toxicity of a glyphosate commercial formulation and its active ingredient in Daphnia magna. Ecotoxicology 22, 251–262 (2013).",http://dx.doi.org/10.1007/s10646-012-1021-1,
"De Lima E Silva, C., Mariette, J., Verweij, R. A. & Van Gestel, C. A. M. Assessing the toxicity of thiamethoxam, in natural LUFA 2.2 soil, through three generations of Folsomia candida. Ecotoxicology 27, 764–771 (2018).",http://dx.doi.org/10.1007/s10646-018-1922-8,
"De Silva, P. M. C. S., Pathiratne, A. & Van Gestel, C. A. M. Toxicity of chlorpyrifos, carbofuran, mancozeb and their formulations to the tropical earthworm Perionyx excavatus. Applied Soil Ecology 44, 56–60 (2010).",http://dx.doi.org/10.1016/j.apsoil.2009.09.005,
