STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
1,Cecylia,YES,"Puglis, HJ; Boone, MD",Effects of Technical-Grade Active Ingredient vs. Commercial Formulation of Seven Pesticides in the Presence or Absence of UV Radiation on Survival of Green Frog Tadpoles,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,"Commercial formulations of pesticides contain both active and other ingredients. In some instances, the other ingredients have detrimental effects on nontarget species. Other factors such as UV radiation and predator cues have been shown to modify the toxicity of pesticides. In a laboratory study we compared the effects of technical-grade active ingredients to commercial formulations of seven common pesticides in the presence or absence of UV radiation on the survival of Rana clamitans (green frog) tadpoles over 96 h. We found a significant difference in the survival of tadpoles in technical-grade active ingredients versus commercial formulations in all of the pesticides tested. We also found that either the presence or the absence of UV radiation affected the survival of tadpoles in five of the seven pesticides tested. These results suggest that there is a need to test the effects of both active ingredients and commercial formulations of pesticides and, also, to include relevant abiotic factors like UV radiation treatments in the testing of pesticides because they can have a dramatic impact on the toxicity of some chemicals.",2011,60,145,155,http://dx.doi.org/10.1007/s00244-010-9528-z
2,Cecylia,maybe,"WILLIAMSON, EG; LONG, SF; KALLMAN, MJ; WILSON, MC",A COMPARATIVE-ANALYSIS OF THE ACUTE TOXICITY OF TECHNICAL-GRADE PYRETHROID INSECTICIDES AND THEIR COMMERCIAL FORMULATIONS,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,NA,1989,18,27,34,http://dx.doi.org/10.1016/0147-6513(89)90089-4
3,Cecylia,YES,"Cossi, PF; Herbert, LT; Yusseppone, MS; Perez, AF; Kristoff, G",Toxicity evaluation of the active ingredient acetamiprid and a commercial formulation (Assail (R) 70) on the non-target gastropod Biomphalaria straminea (Mollusca: Planorbidae),ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,"Neonicotinoids emerged as an environmentally safe alternative to previous generations of insecticides becoming one of the most widely applied in modern agriculture. Nevertheless, they have been reported to affect several non-target organisms. Most toxicity studies focus on the effects on pollinators or terrestrial invertebrates and evaluate either the active ingredient or the commercial formulation. In the present study, we aimed to assess the long-term effects of the active ingredient acetamiprid and a broadly used commercial formulation (Assail (R) 70) on the non-target freshwater gastropod Biomphalaria straminea using a battery of biomarkers. A 14 day-exposure of adult organisms to both active ingredient and commercial formulation increased carboxylesterase activity and glutathione content, inhibited superoxide dismutase activity and decreased reactive oxygen species levels. The commercial formulation additionally increased glutathione S-transferase activity and inhibited catalase activity. The results indicate a greater toxicity of the commercial formulation than that of the active ingredient alone. Cholinesterase activity, development and offspring survival of B. straminea were not impaired. We conclude that the toxicity of acetamiprid on this gastropod species is mainly related to effects on detoxification and oxidative metabolism responses. This study provides novel information about the adverse effects of the active ingredient and a commercial formulation of a widely used neonicotinoid on a non-target aquatic species.",2020,192,NA,NA,http://dx.doi.org/10.1016/j.ecoenv.2020.110248
4,Cecylia,NO,"Accinelli, C; Screpanti, C; Dinelli, G; Vicari, A",Short-time effects of pure and formulated herbicides on soil microbial activity and biomass,INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,"The short-time of six pure herbicides (atrazine, terbuthylazine, rimsulfuron, primisulfuron-methyl, glyphosate and gluphosinate-ammonium) with respect to the corresponding commercial formulations on microbial activity and biomass of sandy loam soil were investigated. Application rates were: agricultural rate, 20 and 200 mug a.i. g(-1) soil. Application at normal agricultural rates did not lead to significant effects on soil microbial activity, whereas soil microbial activity was markedly stimulated when pure and commercial formulations of the six herbicides were applied at 20 mug a.i. g(-1) soil. The addition of 200 mug a.i. g(-1) soil of four pure herbicides (atrazine, terbuthylazine, rimsulfuron, primisulfuron-methjyl) led to a significant decrease of soil microbial activity. Commercial formulations characterized by a higher relative a.i. concentration (atrazine and primisulfuron-methyl) approximately determined the same decreasing effect of the pure compound, whereas herbicide formulations with a lower relative a.i. concentration (terbuthylazine and rimsulfuron) produced a significant increase in soil microbial activity.",2002,82,519,527,http://dx.doi.org/10.1080/03067310290009514
5,Cecylia,maybe,"Saenz, ME; DiMarzio, WD; Alberdi, JL; Tortorelli, MD",Effects of technical grade and a commercial formulation of glyphosate on algal population growth,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,NA,1997,59,638,644,http://dx.doi.org/10.1007/s001289900527
6,Cecylia,YES,"Jacques, MT; Bornhorst, J; Soares, MV; Schwerdtle, T; Garcia, S; Avila, DS",Reprotoxicity of glyphosate-based formulation in Caenorhabditis elegans is not due to the active ingredient only,ENVIRONMENTAL POLLUTION,"Pesticides guarantee us high productivity in agriculture, but the long-term costs have proved too high. Acute and chronic intoxication of humans and animals, contamination of soil, water and food are the consequences of the current demand and sales of these products. In addition, pesticides such as glyphosate are sold in commercial formulations which have inert ingredients, substances with unknown composition and proportion. Facing this scenario, toxicological studies that investigate the interaction between the active principle and the inert ingredients are necessary. The following work proposed comparative toxicology studies between glyphosate and its commercial formulation using the alternative model Caenorhabditis elegans. Worms were exposed to different concentrations of the active ingredient (glyphosate in monoisopropylamine salt) and its commercial formulation. Reproductive capacity was evaluated through brood size, morphological analysis of oocytes and through the MD701 strain (bcIs39), which allows the visualization of germ cells in apoptosis. In addition, the metal composition in the commercial formulation was analyzed by ICP-MS. Only the commercial formulation of glyphosate showed significant negative effects on brood size, body length, oocyte size, and the number of apoptotic cells. Metal analysis showed the presence of Hg, Fe, Mn, Cu, Zn, As, Cd and Pb in the commercial formulation, which did not cause reprotoxicity at the concentrations found. However, metals can bio-accumulate in soil and water and cause environmental impacts. Finally, we demonstrated that the addition of inert ingredients increased the toxic profile of the active ingredient glyphosate in C. elegans, which reinforces the need of components description in the product labels. (C) 2019 Elsevier Ltd. All rights reserved.",2019,252,1854,1862,http://dx.doi.org/10.1016/j.envpol.2019.06.099
7,Cecylia,maybe,"KOZLOWSK.TT; SASAKI, S",EFFECTS OF DIRECT CONTACT OF PINE SEEDS OR YOUNG SEEDLINGS WITH COMMERCIAL FORMULATIONS ACTIVE INGREDIENTS OR INERT INGREDIENTS OF TRIAZINE HERBICIDES,CANADIAN JOURNAL OF PLANT SCIENCE,NA,1968,48,1,&,http://dx.doi.org/10.4141/cjps68-001
8,Cecylia,YES,"Konen, S; Cavas, T",Genotoxicity testing of the herbicide trifluralin and its commercial formulation treflan using the piscine micronucleus test,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,"In this the genotoxic effects of a widely used herbicide, trifluralin, and its commercial formulation, Treflan, were evaluated using the micronucleus test in a commercially important fish species, Oreochromis niloticus (Nile Tilapia). Fish were exposed to 1, 5, and 10 mu g/L doses of trifluralin and Treflan for 3, 6, and 9 days under laboratory conditions. Ethylmethanesulfonate, at a single dose of 10 mg/L, was used as positive control. Micronuclei were evaluated on the peripheral erythrocytes. Both Treflan and trifluralin treatments significantly increased the micronucleus frequencies in peripheral erythrocytes of O. niloticus. Furthermore, the genotoxicity of the active ingredient, trifluralin, was observed to be higher than that of the commercial formulation Treflan. Our results indicate that herbicide trifluralin has genotoxic potential in fish.",2008,49,434,438,http://dx.doi.org/10.1002/em.20401
9,Cecylia,maybe,"Matozzo, V; Fabrello, J; Marin, MG",The Effects of Glyphosate and Its Commercial Formulations to Marine Invertebrates: A Review,JOURNAL OF MARINE SCIENCE AND ENGINEERING,"Glyphosate is the active ingredient of numerous commercial formulations of herbicides applied in different sectors, from agriculture to aquaculture. Due to its widespread use around the world, relatively high concentrations of glyphosate have been detected in soil and aquatic environments. The presence of glyphosate in aquatic ecosystems has aroused the attention of researchers because of its potential negative effects on living organisms, both animals and plants. In this context, this review intends to summarize results of studies aimed at evaluating the effects of glyphosate (both as active ingredient and component of commercial formulations) on marine invertebrates. Generally, data obtained in acute toxicity tests indicate that glyphosate and its commercial formulations are lethal at high concentrations (not environmentally realistic), whereas results of long-lasting experiments indicate that glyphosate can markedly affect biological responses of marine invertebrates. Consequently, more efforts should be addressed at evaluating chronic or sub-chronic effects of such substances to marine invertebrate species.",2020,8,NA,NA,http://dx.doi.org/10.3390/jmse8060399
10,Cecylia,NO,"Da Cuna, RH; Lo Nostro, FL; Shimabukuro, V; Ondarza, PM; Miglioranza, KSB",Bioaccumulation and Distribution Behavior of Endosulfan on a Cichlid Fish: Differences Between Exposure to the Active Ingredient and a Commercial Formulation,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,"Persistent organic pollutants reach aquatic ecosystems during application and can bioconcentrate/biomagnify because of their lipophilic nature. Toxicological studies focus almost exclusively on the active ingredients of pesticides, instead of commercial formulations, whose toxicity can differ as a result of nonspecified ingredients. The intensive use of endosulfan as a wide-ranging insecticide over the last few decades makes it one of the most frequently detected contaminants in the aquatic environment, even after it has been restricted worldwide. The aim of the present study was to evaluate the bioaccumulation and organ distribution of waterborne endosulfan in the freshwater fish Cichlasoma dimerus, comparing the active ingredient and a commercial formulation. Males were exposed to 0.7 mu g/L endosulfan for 2 wk, which was quantified (gas chromatography with an electron capture detector) in the liver, testes, gills, brain, and muscle. The results suggest rapid metabolism of alpha-endosulfan and beta-endosulfan isomers to endosulfan sulfate (endosulfan-S) in tissues. Isomer levels were highest in gills, indicative of recent uptake. Levels of endosulfan-S were highest in liver and testes for the active ingredient and testes and brain for the commercial formulation. For the active ingredient, endosulfan-S levels showed a positive correlation with organ-lipid percentage. No correlation was evident for the commercial formulation, indicating that the presence of adjuvants alters endosulfan distribution because gills and liver showed a higher uptake and mobilization of beta-endosulfan. These differences in organ distribution may alter tissue-specific toxicity; therefore, additives cannot be considered inactive even if nontoxic. Environ Toxicol Chem 2020;00:1-8. (c) 2019 SETAC",2020,39,604,611,http://dx.doi.org/10.1002/etc.4643
