STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI,MORTALITY_SURVIVAL_ORGANISM_VIABILITY,LD50_WITH_CI_AVAILABLE,DATA_REQUEST_REQUIRED,OTHER_ENDPOINTS_STUDIED,COMMENTS,REQUEST,ACCESS_TYPE
wos248,Guy,YES,"Pereira, JL; Mendes, CD; Goncalves, F",acute and chronic effects of a mixture of formulated pesticides and its corresponding active ingredients in daphnia magna,FRESENIUS ENVIRONMENTAL BULLETIN,"Agricultural practices worldwide include the use of pesticides either as single-chemical or multiple-chemical applications aiming higher efficiency in controlling grass weeds and animal pests. Pesticides may easily reach and contaminate surface waterbodies mainly through drainage 7 and spray drift, and hence are currently viewed as a major contamination issue. Following recent discussion on the ability of adjuvant chemicals added to marketed formulations to contribute for pesticide toxicity, this study focuses the acute and chronic toxicity of the insecticide Lannate (R) and the herbicide Stam Novel Flo (R), as well as that of their active ingredients Methomyl and Propanil, to the freshwater cladoceran Daphnia magna. Furthermore, acute and chronic toxicity of mixtures is addressed, through the evaluation of D. magna responses to joint exposures comprising both active ingredients and both commercial formulations. Regarding acute exposures, the mixture comprising commercial solutions was shown to have a more than additive action, while the opposite (less than additive action) was found when testing the joint action of the active ingredients. Chronic exposures can provide additional information on chemicals' toxicity in reproductive endpoints, which is of particular relevance when considering that pesticides are often repeatedly applied within a single agricultural season. Life-history endpoints assessed under mixture exposures indeed indicated higher Iona-term. 17 C, than short-term toxicity, and showed a distinct pattern of joint action when compared to acute toxicity assessments. These results suggest that long-term exposures can provide relevant complementary information on mixtures' toxicity that should be taken into account within pesticide risk assessment procedures.",2009,18,1281,1288,NA,n/a,n/a,n/a,n/a,paper not accessible,YES,PAPER
scopus3711,Guy,YES,Verma S.R.; Kumar V.; Dalela R.C.,acute toxicity of three newly formulated pesticides to fish mystus vittatus,Indian Journal of Environmental Health,"The determination of median lethal concentration (LC//5//0) for the organism to particular pesticide is important for determination of safe concentration. The present study was undertaken to determine the acute toxicity range and LC//5//0 of three newly formulated pesticides, viz. , sumicidin (commercial and technical grade), monitor (commercial grade) and orthenene (commercial and technical grade) taking Mystus vittatus as test fish. Relative potencies and safe concentrations of these chemicals were calculated on the basis of 96 hr LC//5//0. Sumicidin (commercial grade) was most toxic while orthenene (technical grade) was least toxic and the other pesticides were moderately toxic.",1981,23,215,221,,n/a,n/a,n/a,n/a,paper not accessible,YES,PAPER
scopus545,Guy,YES,Shtannikov E.V.; Stepanova N.I.; Il'in I.E.; Eliseev I.I.,delayed effects of pesticide and surface active agent transformation products; [otdalennye éffekty vliianiia produktov transformatsii pestitsidov i poverkhnostno aktivnykh veshchestv.],Gigiena i sanitariia,[No abstract available],1980,,14,16,,n/a,n/a,n/a,n/a,couldn't access and from the title it doesn't sound like it is exploring the research question.,NO,PAPER
wos399,Guy,YES,"Garcia-Hernandez, JL; Troyo-Dieguez, E; Ortega-Rubio, A; Nolasco-Soria, H; Jones, H",effect of organophosphorus pesticide application on hot pepper yield land its parameters) capsicum annuum l. cv. ancho san luis,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,"We studied the effects of the commercial products Gusation 35 PH(R), Paration CE720(R) y Tamaron 600 LM(R), and an active ingredient without mixtures (metamidofos) on pepper (Capsicum annuum L. cv. Ancho San Luis) yield and yield components. Four doses were used: the one recommended on the label of the product; half, 1.5 times and twice the recommended dose. Three frequencies of application (once and twice a week, and once every 15 d) were tried, for six weeks, from the beginning of flowering. Yield (RE) and yield components (weight of fruit [PF] and fruit size [TFI]), and both flowering (DFL) and fruiting dynamics (DFR) were the parameters. The results showed that the improper application of insecticides may develop toxicity, finally impinging on harvest results.",2000,67,113,120,NA,n/a,n/a,n/a,n/a,not accessible.,NO,PAPER
nagyrefs39,Guy,YES,"COSENZA, ME; BIDANSET, J",effects of chlorpyrifos on neuronal development in rat embryo midbrain micromass cultures,VETERINARY AND HUMAN TOXICOLOGY,"Chorpyrifos (CPF) Is a broad-spectrum organophosphate insecticide used to control mosquitos and household insects. In man it has toxic effects on the central nervous system, the cardiovascular system and the respiratory system. This study investigated the toxicity of CPF on nervous system development using the midbrain micromass culture system. Chlorpyrifos was tested as a marketed formulation and in 3 solvents. All demonstrated toxicity in midbrain micromass cells with IC50 values below 30 ug/mL, indicating a potent teratogen.",1995,37,118,121,,n/a,n/a,n/a,n/a,not accessible.,NO,PAPER
scopus426,Guy,YES,Koyama K.,glufosinate and a surfactant: which component produces effects on the central nervous system in acute oral basta poisoning? [1],Veterinary and Human Toxicology,[No abstract available],1999,41,341,,,n/a,n/a,n/a,n/a,not accessible. Also didn't sound relevant,NO,PAPER
scopus558,Guy,YES,Il'in I.E.,hazards of the redistribution of chemical and biological pollutants in an aqueous environment; [izuchenie opasnosti pereraspredeleniia zagriazniteleǐ khimicheskoǐ i biologicheskoǐ prirody v vodnoǐ srede.],Gigiena i sanitariia,[No abstract available],1986,,8,11,,n/a,n/a,n/a,n/a,inaccessible. Also didn't sound relevant,NO,PAPER
wos744,Guy,YES,"Garry, VF; Burroughs, B; Tarone, R; Kesner, JS",herbicides and adjuvants: an evolving view,TOXICOLOGY AND INDUSTRIAL HEALTH,"The present report examines the br vitro genotoxicity (micronucleus assay) of herbicides and adjuvants and reports on an in vivo human study on potential endocrine effects of pesticides, including herbicides. Adjuvants are used in conjunction with 2,4-dichlorophenoxy acetic acid (2,4-D) and other herbicides. Earlier pesticide applier survey results (n = 709) show that 59% of the applicators used adjuvants, and the majority of this group used paraffinic oils and/or surfactant mixtures. As a beginning effort to explore the role of adjuvants and herbicides in hormonally based reproductive effects, a prospective, controlled study was performed to analyze blood specimens from three different exposure groups (applicators using herbicides only; applicators using both herbicides and insecticides; and applicators using fumigants in addition to herbicides and insecticides; and a control group composed of other agricultural workers including organic farmers). The applicators and controls were age- and smoking-matched. Study subjects (n = 78) were tested before, during, and after completion of pesticide application season for the effects of pesticide products on hormone levels in the bloodstream. Of the applicator exposure groups examined, only the herbicide group showed significant endocrinologic differences from controls. Free testosterone levels were significantly elevated in post-season measurements (p = 0.032), and follicle-stimulating hormone (FSH) was significantly decreased at the height of the season (p = 0.016) and in the post-season (p = 0.010) as compared to controls. These endocrinologic findings are discussed in terms of their possible relationship to potential endocrine effects of herbicides, herbicide contaminants, and adjuvants. In vitro genotoxicity examination compared four different commercially available surfactant mixtures with 12 different commercial herbicide products, including six different chlorophenoxy herbicides. Only one herbicide yielded a significant dose-response curve. All four adjuvants showed positive dose-response effects. These preliminary data suggest that adjuvants are not inert but are toxicologically active components added to herbicide mixtures. Whether adjuvant toxicant effects are additive or are independent of herbicide effects is poorly understood.",1999,15,159,167,http://dx.doi.org/10.1191/074823399678846619,NO,NO,NO,GENOTOXICITY,not accessible. May not actually perform comparison of interest.,NO,PAPER
wos282,Guy,YES,"Gomes, SIL; Campos, EVR; Fraceto, LF; Grillo, R; Scott-Fordsmand, JJ; Amorim, MJB",high throughput transcriptomics reveals the mechanisms of nanopesticides   nanoformulation commercial formulation active ingredient   finding safe and sustainable by design (ssbd) options for the environment,ENVIRONMENTAL SCIENCE-NANO,"Nanoformulations are developed to offer controlled release of active ingredients (a.i.) and thus aim to keep functionality while having a smaller environmental footprint. This means that nanoformulations aim to comply with the safe and sustainable by design (SSbD) concept, as a part of (re)designing to reduce their risks. However, the toxic effects of nanoformulations, particularly to non-target organisms, are poorly known, and even more so at the mechanistic level. The aim of the present study was to investigate the possible mechanisms of toxicity of atrazine when delivered as a nanoformulation of atrazine (nano_ATZ), a commercial atrazine-based formulation (Gesaprim), and the pure a.i. (ATZ). A high-throughput gene expression microarray (4 x 44 K) was used to assess transcriptomics in Enchytraeus crypticus (non-target species). Organisms were exposed, in soil, to equitoxic reproduction effect concentrations (EC10 and EC50) for 3 and 7 days. Results showed activation of genes involved in both general and well-known mechanisms of detoxification (e.g. cytochrome P450 and GST) for all the atrazine forms. Unique effects of nano_ATZ on transcripts linked to secretion, translocation and vesicle trafficking suggested that differentiated - nano-specific - uptake and/or cellular transport might be taking place. This study on the transcriptomics of a nanoformulation, the first so far, suggested differentiated mechanisms of toxicity among the nanoformulation, the a.i. and the conventional pesticides, shedding light on the issues of safe and sustainable-by-design (SSbD) for the agrochemical industry.",2022,9,2182,2194,http://dx.doi.org/10.1039/d1en00735a,NO,NO,NO,TRANSCRIPTOMICS,not accessible. May not actually perform comparison of interest.,YES,PAPER
wos80,Guy,YES,"Royuela, M; Gonzalez, A; Arrese-Igor, C; Aparicio-Tejo, PM; Gonzalez-Murua, C",influence of ph on imazethapyr toxicity on rhizobium,"CONGRESS 1997 - SOCIEDAD ESPANOLA DE MALHERBOLOGIA, PROCEEDINGS","pH effect on imazethapyr toxicity an Rhizobium leguminosarum bv.viciae and the differences between the technical and commercial formulation were studied. Rhizobium was very tolerant to imazethapyr at pH 6-7. However, growth inhibition was monitored at pH 5, with I50 being 20 and 60 mg/l for the commercial and technical grade herbicide, respectively. This pH effect seems to be related with the herbicide absorption by the microbial sells, Also, the higher toxicity showed by the commercial grade herbicide may be related with an enhanced cell absorption or a higher intrinsic toxicity.",1997,NA,109,112,NA,n/a,n/a,n/a,n/a,not accessible.,YES,PAPER
scopus499,Guy,YES,David D.,influence of technical and commercial decamethrin a new synthetic pyrethroid on the gonadic germ population in quail embryos,"Archives d'Anatomie, d'Histologie et d'Embryologie","Contamination of Quail eggs with the synthetic pyrethroid decamethrin significantly reduced the gonadic germ population in 5 day-old embryos. Technical grade and commercially formulated pesticides were used, the commercial excipient and its main hydrocarbon constituent (xylene) were also tested. Eggs were treated either directly by intravitelline injection (1.25 mg, 0.80 mg or 0.30 mg of active substance by egg) or spraying of the shell (with a 2% aqueous suspension of pesticide) or indirectly through repeated ingestion by the parental birds of feed contaminated with 100 ppm of pyrethroid. Reduction in germ potential was primarily due to the excipient used in the formulation of the commercial product. The xylene, main constituent of the matrix, was responsible for this reductive effect. These chemicals (excipient and xylene) were also chiefly responsible for the high embryo mortality rate observed after injection. Both excipient alone and formulated decamethrin were distinctly less embryolethal when sprayed onto eggs or added to feed.",1982,Vol. 65,99,110,,n/a,n/a,n/a,n/a,not accessible.,YES,PAPER
scopus1789,Guy,YES,Manthey F.A.; Szelezniak E.F.; Nalewaja J.D.,lipophilic chemistry affects surfactant phytotoxicity and enhancement of herbicide efficacy,ASTM Special Technical Publication,"Nonionic surfactants are comprised of a lipophilic and a hydrophilic moiety. Experiments were conducted to determine the effect of the lipophilic moiety on droplet spread; surfactant phytotoxicity, and surfactant enhancement of herbicide phytotoxicity. Six different lipophilic moieties and two herbicides were evaluated on four plant species. Each lipophilic moiety was represented by two surfactants: one with a low hydrophilic:lipophilic balance (HLB) value, near 12.0, and one with a high HLB value, near 16.0. Droplet spread was greater with low than high HLB surfactants and was greatest with trimethylnonanol ethoxylate (TMN); intermediate with secondary alcohol ethoxylate (SAE) and octylphenol ethoxylate (OPE), and least with linear alcohol ethoxylate (LAE), nonylphenol ethoxylate (NPE), and oxysorbic (TWN). Surfactant enhancement of droplet spread was less on redroot pigweed (Amaranthus retroflexus) than on barley (Hordeum vulgare), green foxtail (Setaria viridis), or kochia (Kochia scoparia). Isopropylamine salt of glyphosate [N- (phosphonomethyl)glycine] and the ammonium salt of imazethapyr {2- [4,5-dihydro-4-methyl-4-(1-methylethyl-5-oxo-1H-imidazol-2-yl]-5-ethyl-3- pyridinecarboxylic acid} had little effect on droplet spread. Lipophilic chemistry and HLB affected surfactant phytotoxicity to green foxtail, kochia, and redroot pigweed but not to barley. Foliar injury ranged from 1 to 23% with green foxtail, 0 to 17% with kochia, and 0 to 14% with redroot pigweed. Injury to barley was similar for all surfactants and ranged from 3 to 8%. Injury generally was greater with low than high HLB surfactants. However, SAE and OPE caused greater injury to green foxtail at high than low HLB. Green foxtail was the only plant species injured more than 8% by high HLB surfactants. Droplet spread did not correlate with surfactant phytotoxicity regardless of plant species. Glyphosate phytotoxicity generally was enhanced most by high HLB LAE to barley, green foxtail, and kochia and by high HLB TWN to redroot pigweed. Imazethapyr phytotoxicity was generally greatest when applied with high HLB SAE to barley and redroot pigweed, with high HLB LAE to green foxtail and with low HLB LAE to kochia. Neither droplet spread nor surfactant phytotoxicity correlated with glyphosate or imazethapyr efficacy.",1997,1328,267,276,10.1520/stp13847s,n/a,n/a,n/a,n/a,not accessible. Request,YES,PAPER
wos1084,Guy,YES,"Sheu, EY",microencapsulation of lambda cyhalothrin for crop protection   the zeon technology,PREDICTING FIELD PERFORMANCE IN CROP PROTECTION,"The Zeon technology for microencapsulation of Lambda+cyhalothrin insecticide was developed at Zeneca's Western Research Center. By use of isocyanate interfacial polymerization chemistry and Zeneca's novel protective colloids and emulsifiers system, a simple process was developed for high active ingredient loading microencapsulation. As a result of this technology, toxicity in nearly all categories was reduced compared with the EC formulation. The same technology can be used for other active ingredients to extend residual control, reduce toxicity, reduce phytotoxicity and retard volatility.",2000,NA,57,64,NA,n/a,n/a,n/a,n/a,not accessible. Also sounds like it compared a microencapsulation to a EC formulation so not comparison of interest.,NO,PAPER
wos779,Guy,YES,"Shareef, M; Fischer, B; Brown, K; Bloch, D; Kneuer, C; Marx-Stoelting, P",mixture effects of co formulants and active substances in pesticides,NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY,NA,2020,393,90,90,NA,n/a,n/a,n/a,n/a,Conference abstract. Not accessible.,YES,PAPER
