"","STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","JOURNAL","ABSTRACT","YEAR","VOLUME","LPAGES","UPAGES","DOI","MORTALITY_SURVIVAL_ORGANISM_VIABILITY","LD50_WITH_CI_AVAILABLE","DATA_REQUEST_REQUIRED","OTHER_ENDPOINTS_STUDIED","COMMENTS"
"1","wos1144","Guy","YES","Dehnert, GK; Karasov, WH; Wolman, MA","24 dichlorophenoxyacetic acid containing herbicide impairs essential visually guided behaviors of larval fish","AQUATIC TOXICOLOGY","Aquatic herbicides are used worldwide to eradicate nuisance and invasive plants despite limited knowledge of their toxicity to non-target organisms. 2,4-Dichlorophenoxyacetic acid (2,4-D) is a common active ingredient in commercial herbicide formulations, which triggers plant cell death by mimicking the plant-specific hormone auxin. Application practices of 2,4-D commercial herbicides typically coincide with yearly freshwater fish spawning periods. This practice exposes fish to xenobiotics at their vulnerable larval stages. The full impacts of 2,4-D on larval fish remains poorly understood, and hence, whether it may alter larval survival, larval behavior, fish populations, and ecosystem dynamics. In the present study, we exposed embryonic and larval zebrafish (Danio rerio) to the active ingredient 2,4-D (pure 2,4-D) or a 2,4-D containing commercial herbicide DMA4 (R) IVM (DMA4) and evaluated morphology, survival, behavior, and nervous system function. At 2,4-D concentrations producing no overt morphological defects during embryonic or early larval stages, we observed reduced survival throughout a 21-day larval assay (4-8 ppm DMA4 and 0.75-4 ppm pure 2,4-D). Notably, prey capture, a behavior essential to survival, was reduced in 2,4-D-exposed larval zebrafish (4-8 ppm DMA4 and 0.75-4 ppm pure 2,4-D) and yellow perch (Perca flavescens) (4-20 ppm DMA4). In zebrafish, 8 ppm DMA4 exposure reduced prey capture when exposure was restricted to the period of visual system development. Consistent with these results, larval zebrafish exposed to 8 ppm DMA4 showed reduced neural activity within the optic tectum following prey exposure. Together, our results suggest that 2,4-D alters the development and function of neural circuits underlying vision of larval fish, and thereby reduces visually guided behaviors required for survival.",2019,"209","1","12","http://dx.doi.org/10.1016/j.aquatox.2019.01.015","YES","YES","NO","MORPHOLOGY/BEHAVIOUR/DEVELOPMENT","n/a"
"2","wos2","Guy","YES","WILLIAMSON, EG; LONG, SF; KALLMAN, MJ; WILSON, MC","a comparative analysis of the acute toxicity of technical grade pyrethroid insecticides and their commercial formulations","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY",NA,1989,"18","27","34","http://dx.doi.org/10.1016/0147-6513(89)90089-4","YES","YES","NO","n/a","n/a"
"4","wos850","Guy","YES","Grisolia, CK; Bilich, MR; Formigli, LM","a comparative toxicologic and genotoxic study of the herbicide arsenal its active ingredient imazapyr and the surfactant nonylphenol ethoxylate","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","The herbicide arsenal 250 NA, its technical-grade active ingredient imazapyr, and the surfactant nonylphenol ethoxylate (NP) were evaluated through genotoxicity and toxicity studies in different organisms. A comparative study of these three compounds was carried out to assess how the addition of surfactant components may pose the highest toxicological risk to pesticide formulations. The results showed that arsenal, imazapyr, and NP did not cause chromosome aberration in Allium cepa nor increase the frequency of micronuclei in mice. However, toxicological evaluations showed that NP was the most toxic compound to mice, A. cepa, Drosophila melanogaster, and Biomphalaria tenagophila. In this evaluation, it was observed that the adverse effects were produced by the surfactant additive of the pesticide formulation. (C) 2004 Elsevier Inc. All rights reserved.",2004,"59","123","126","http://dx.doi.org/10.1016/j.ecoenv.2004.01.014","YES","NO","YES","GENOTOXICITY","n/a"
"5","wos2170","Guy","YES","Prudkin-Silva, C; Lanzarotti, E; Alvarez, L; Vallerga, MB; Factorovich, M; Morzan, UN; Gomez, MP; Gonzalez, NP; Acosta, YM; Carrizo, F; Carrizo, E; Galeano, S; Lagorio, MG; Juarez, AB; Ithuralde, RE; Romero, JM; Urdampilleta, CM","a cost effective algae based biosensor for water quality analysis: development and testing in collaboration with peasant communities","ENVIRONMENTAL TECHNOLOGY & INNOVATION","New anthropic potentially harmful compounds are released into the environment everyday. In this context, broad range bioassays have emerged providing economically viable and widely applicable alternatives due to their ability to detect the cumulative toxicity of mixtures of both known and unknown chemicals in a sample, thus allowing direct information about water quality. Here we present a low-cost, wide-range algae-based biosensor that is easy to assemble and operate by untrained users and provides direct readings. It was developed as a request of a peasant social movement organization to assess the toxicity of drinking water in rural communities affected by pesticide spraying. Two fresh water algae strains, Scenedesmus acutus and Pseudokirchneriella subcapitata, were immobilized in alginate beads and tested as bioindicators. After incubation with different pollutants for five days, naked eye analysis by several observers proved to be a successful method to survey algae's growth and establish the detection limits. Best detection limits were 10 ppm for technical-grade acid glyphosate, 15 ppm for glyphosate-based formulation, 50 ppb for atrazine formulation, 7.5 ppm for copper and 250 ppb for chromium. Absorbance measurements upon algae resuspension validated these results. The developed device was successfully tested in participatory workshops conducted at rural communities. Children, adults and elders with no scientific training were able to build the sensor and interpret the results, thus evaluating the quality of rain and well water used in their communities. (c) 2021 Elsevier B.V. All rights reserved.",2021,"22",NA,NA,"http://dx.doi.org/10.1016/j.eti.2021.101479","YES","NO","YES","n/a","n/a"
"9","wos1303","Guy","YES","Bonfanti, P; Saibene, M; Bacchetta, R; Mantecca, P; Colombo, A","a glyphosate micro emulsion formulation displays teratogenicity in xenopus laevis","AQUATIC TOXICOLOGY","Glyphosate is the active ingredient in broad-spectrum herbicide formulations used in agriculture, domestic area and aquatic weed control worldwide. Its market is growing steadily concurrently with the cultivation of glyphosate-tolerant transgenic crops and emergence of weeds less sensitive to glyphosate. Ephemeral and lentic waters near to agricultural lands, representing favorite habitats for amphibian reproduction and early life-stage development, may thus be contaminated by glyphosate based herbicides (GBHs) residues. Previous studies on larval anuran species highlighted increased mortality and growth effects after exposure to different GBHs in comparison to glyphosate itself, mainly because of the surfactants such as polyethoxylated tallow amine present in the formulations. Nevertheless, these conclusions are not completely fulfilled when the early development, characterized by primary organogenesis events, is considered. In this study, we compare the embryotoxicity of Roundup((R)) Power 2.0, a new GBH formulation currently authorized in Italy, with that of technical grade glyphosate using the Frog Embryo Teratogenesis Assay Xenopus (FETAX). Our results evidenced that glyphosate was not embryolethal and only at the highest concentration (50 mg a.e./L) caused edemas. Conversely, Roundup((R)) Power 2.0 exhibited a 96 h LC50 of 24.78 mg a.e./L and a 96 h EC50 of 7.8 mg a.e./L. A Teratogenic Index of 3.4 was derived, pointing out the high teratogenic potential of the Roundup((R)) Power 2.0. Specific concentration-dependent abnormal phenotypes, such as craniofacial alterations, microphthalmia, narrow eyes and forebrain regionalization defects were evidenced by gross malformation screening and histopathological analysis. These phenotypes are coherent with those evidenced in Xenopus laevis embryos injected with glyphosate, allowing us to hypothesize that the teratogenicity observed for Roundup((R)) Power 2.0 may be related to the improved efficacy in delivering glyphosate to cells, guaranteed by the specific surfactant formulation. In conclusion, the differences in GBH formulations should be carefully considered by the authorities, since sub-lethal and/or long-term effects (e.g. teratogenicity) can be significantly modulated by the active ingredient salt type and concentration of the adjuvants. Finally, the mechanistic toxicity of glyphosate and GBHs are worthy of further research.",2018,"195","103","113","http://dx.doi.org/10.1016/j.aquatox.2017.12.007","YES","YES","NO","DEVELOPMENT","n/a"
"16","wos28","Guy","YES","Mansano, AS; Moreira, RA; Dornfeld, HC; Diniz, LGR; Vieira, EM; Daam, MA; Rocha, O; Seleghim, MHR","acute and chronic toxicity of diuron and carbofuran to the neotropical cladoceran ceriodaphnia silvestrii","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","In order to contribute to the increase of the body of knowledge on the sensitivity of tropical indigenous species to pesticides, acute and chronic toxicity tests were conducted with the neotropical cladoceran Ceriodaphnia silvestrii. Tests were carried out with the active ingredients diuron and carbofuran and one of their commercial formulations, the Dittman Nortox (R) 500 SC and the Furadan (R) 350 SC, respectively. For carbofuran, the active ingredient was more toxic than the commercial product, whereas for diuron, the commercial product appeared more toxic. In addition, hormetic effects on fertility were recorded for intermediate diuron concentrations. Acute and chronic toxicity data indicated that C. silvestrii was among the most sensitive invertebrate species for both test compounds. Based on concentrations measured in Brazilian water bodies, these compounds represent ecological risks for causing direct and indirect toxic effects on C. silvestrii and other aquatic organisms. Our results support previous claims on the advantages of using native species to better tune ecological risk assessment of chemicals in tropical ecosystems.",2018,"25","13335","13346","http://dx.doi.org/10.1007/s11356-016-8274-9","YES","YES","NO","FERTILITY","n/a"
"17","wos1286","Guy","YES","Bringolf, RB; Cope, WG; Mosher, S; Barnhart, MC; Shea, D","acute and chronic toxicity of glyphosate compounds to glochidia and juveniles of lampsilis siliquoidea (unionidae)","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","Native freshwater mussels (family Unionidae) are among the most imperiled faunal groups in the world. Factors contributing to the decline of mussel populations likely include pesticides and other aquatic contaminants: however, there is a paucity of data regarding the toxicity of even the most globally distributed pesticides, including glyphosate. to mussels. Therefore, the toxicity of several forms of glyphosate, its formulations, and a surfactant (MON 0818) used in several glyphosate formulations was determined for early life stages of Lampsilis siliquoidea, a native freshwater mussel. Acute and chronic toxicity tests were performed with a newly established American Society of Testing and Materials (ASTM) standard guide for conducting toxicity tests with freshwater mussels. Roundup's, its active ingredient, the technical-grade isopropylamine (IPA) salt of glyphosate, IPA alone, and MON 0818 (the surfactant in Roundup formulations) were each acutely toxic to L. siliquoidea glochidia. MON 0818 was most toxic of the compounds tested and the 48-h median effective concentration (0.5 mg/L) for L. siliquoidea glochidia is the lowest reported for any aquatic organism tested to date. Juvenile L. siliquoidea were also acutely sensitive to MON 0818. Roundup, glyphosate IPA salt, and IPA alone. Technical-grade glyphosate and Aqua Star((R)) were not acutely toxic to glochidia or juveniles. Ranking of relative chronic toxicity of the glyphosate-related compounds to juvenile mussels was similar to the ranking of relative acute toxicity to juveniles. Growth data from chronic tests was largely inconclusive. In summary, these results indicate that L. siliquoidea, a representative of the nearly 300 freshwater mussel taxa in North America, is among the most sensitive aquatic organisms tested to date with glyphosate-based chemicals and the surfactant MON 0818.",2007,"26","2094","2100","http://dx.doi.org/10.1897/06-519R1.1","YES","YES","NO","n/a","n/a"
"18","wos927","Guy","YES","Bringolf, RB; Cope, WG; Barnhart, MC; Mosher, S; Lazaro, PR; Shea, D","acute and chronic toxicity of pesticide formulations (atrazine chlorpyrifos and permethrin) to glochidia and juveniles of lampsilis siliquoidea","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","Fresh water mussels are among the most imperiled faunal groups in North America, approximately 67% of the nearly 300 native freshwater mussel species (family Unionidae) are listed as endangered, threatened, or of special concern. Despite evidence that glochidia and juvenile life stages are highly sensitive to some chemical contaminants, the effects of pesticides on early life stages of unionid mussels are largely unknown. In the United States, pesticide registration is based on toxicity data of the active ingredient, not formulations as they are sold and applied. Some pesticide formulations, however, are more toxic than their active ingredient (technical -grade pesticide) alone because of the presence of surfactants, adjuvants, or other ingredients in the formulation. The objective of the present study was to compare the toxicity of active ingredients of several current-use pesticides (atrazine, chlorpyrifos, and permethrin) to the toxicity of pesticide formulations to glochidia and juvenile life stages of a freshwater mussel (Lampsilis siliquoidea). The atrazine formulation (Aatrex) was more toxic than technical-grade atrazine in chronic tests with juvenile L. siliquoidea. For other pesticides, acute and chronic toxicity of technical-grade pesticides were similar to the toxicity of pesticide formulations. Median effective concentrations for chlorpyrifos were 0.43 mg/L for glochidia at 48 h, 0.25 mg/L for juveniles at 96 h, and 0.06 mg/L for juveniles at 21 d. Atrazine and permethrin as well as their formulations did not cause significant acute toxicity in glochidia or juveniles at exposure concentrations approaching water-solubility limits. Additional research is needed on other pesticides with different modes of action, on the role of different routes of exposure, and with other species of unionid mussels to evaluate similarities of toxic response.",2007,"26","2101","2107","http://dx.doi.org/10.1897/06-555R.1","YES","YES","NO","n/a","n/a"
"19","wos33","Guy","YES","Majumder, R; Kaviraj, A","acute and sublethal effects of organophosphate insecticide chlorpyrifos on freshwater fish oreochromis niloticus","DRUG AND CHEMICAL TOXICOLOGY","Chlorpyrifos is a widely used organosphosphate insecticide in India. Residue of the insecticide is frequently detected in trace to moderate concentration in food grains and in surface water of different freshwater ecosystems of the country. In this study, 96 h LC50 of the technical grade (94% a.i.) and commercial formulation (20% EC) of chlorpyrifos to freshwater fish Oreochromis niloticus were determined as 90.0 and 42.0 mu g/L based on 2 h actual concentration of chlorpyrifos in water. About 96 h exposure to sublethal concentrations (0, 12.0 and 25.0 mu g/L) of the commercial formulation (20% EC) of chlorpyrifos reduced the level of hepatic glycogen, activities of alkaline phosphatase, acetylcholinesterase, and catalase in liver and elevated the level of plasma glucose and activities of hepatic acid phosphatase, aspartate aminotransferase, and alanine aminotransferase in O. niloticus. About 28-day exposure to these sub-lethal concentrations caused anemia in fish, while 90 days exposure reduced growth of the fish and carcass concentration of crude protein and crude lipid as compared to control. It was concluded from this study that commercial formulation of chlorpyrifos (20% EC) was highly toxic to O. niloticus. Exposure to sub-lethal concentrations of the insecticide could induce oxidative stress and anemia resulting in reduced growth of the fish.",2019,"42","487","495","http://dx.doi.org/10.1080/01480545.2018.1425425","YES","YES","NO","GROWTH/HEPATOTOXICITY/ENZYME ACTIVITY/OXIDATIVE STRESS","n/a"
"20","wos161","Guy","YES","Stara, A; Pagano, M; Capillo, G; Fabrello, J; Sandova, M; Albano, M; Zuskova, E; Velisek, J; Matozzo, V; Faggio, C","acute effects of neonicotinoid insecticides on mytilus galloprovincialis: a case study with the active compound thiacloprid and the commercial formulation calypso 480 sc","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","Pesticides can enter aquatic environments potentially affecting non-target organisms. Unfortunately, the effects of such substances are still poorly understood. This study investigated the effects of the active neonicotinoid substance thiacloprid (TH) and the commercial product Calypso 480 SC (CA) (active compound 40.4% TH) on Mytilus galloprovincialis after short-term exposure to sublethal concentrations. Mussels were tested for seven days to 0, 1, 5 and 10 mg L-1 TH and 0, 10, 50 and 100 mg L-1 CA. For this purpose, several parameters, such as cell viability of haemocytes and digestive cells, biochemical haemolymph features, superoxide dismutase (SOD) and catalase (CAT) enzymatic activity of gills and digestive gland, as well as histology of such tissues were analysed. The sublethal concentrations of both substances lead to abatement or completely stopping the byssal fibres creation. Biochemical analysis of haemolymph showed significant changes (P < 0.01) in electrolytes ions (Cl-, K+, Na+, Ca2+, S-phosphor), lactate dehydrogenase (LDH) enzyme activity and glucose concentration following exposure to both substances. The TH-exposed mussels showed significant imbalance (P < 0.05) in CAT activity in digestive gland and gills. CA caused significant decrease (P < 0.05) in SOD activity in gills and in CAT activity in both tissues. Results of histological analyses showed severe damage in both digestive gland and gills in a time and concentration-dependent manner. This study provides useful information about the acute toxicity of a neonicotinoid compound and a commercial insecticide on mussels. Nevertheless, considering that neonicotinoids are still widely used and that mussels are very important species for marine environment and human consumption, further researches are needed to better comprehend the potential risk posed by such compounds to aquatic non-target species.",2020,"203",NA,NA,"http://dx.doi.org/10.1016/j.ecoenv.2020.110980","YES","NO","YES","CYTOTOXICITY","only one mussel died so the mortality data was glossed over. Could extract maximal concentrations for both and simulate SD. "
