STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
scopus13,Guy,NO,Tooby T.E.; Hursey P.A.; Alabaster J.S.,The acute toxicity of 102 pesticides and miscellaneous substances to fish,1975,Chemistry and Industry (London),No. 12,523,526,,"The standard constant flow procedure developed at the Ministry of Agriculture, Fisheries and Food for testing the acute toxicity of substances to fish is described and data on the respective toxicities of 102 herbicides, insecticides, fungicides, microbicides, polychlorinated biphenyls and other substances to fish are tabulated. The majority of the substances tested were commercial formulations because, in most cases, it is difficult to assess the LC50 values of formulated mixtures from the results of the active ingredient. The other chemicals in the formulation may enhance or reduce the toxicity of the active ingredient."
scopus85,Guy,NO,Chin C.-P.; Lan C.-W.; Wu H.-S.,Application of biodiesel as carrier for insecticide emulsifiable concentrate formulation,2012,Journal of the Taiwan Institute of Chemical Engineers,43,578,584,10.1016/j.jtice.2012.02.003,"The emulsifiable concentrate (EC) formulation is a solvent-rich (approximately 10 parts to 90 parts of solvent in the formulation) delivery system for oil-soluble agrochemicals, which may cause environmental pollution. This study evaluated a combination of pesticide and biodiesel that is nontoxic and biodegradable to overcome various problems with aromatic solvents. A 40.8% chlorpyrifos EC formulation was prepared by blending with biodiesel, cosolvent and surfactants and compared with a commercial product with only aromatic solvent as the carrier. Several physical and chemical tests were processed to compare these two formulations. Residual and phytotoxicity tests were performed with cabbage plants in a greenhouse. The experimental results revealed no considerable difference between the biodegradable and commercial formulations in stability tests. The results also indicated that the 40.8% chlorpyrifos EC prepared with biodiesel was up to grade. In addition, biodiesel can reduce the unpleasant odor that is generated from chlorpyrifos because of its low volatility. The high flash point of biodiesel enabled safer storage, transportation, and application of the formulation. According to the findings from residual experiments, biodiesel may increase the amount of active ingredient (AI) on the surface of plants because of its lipophilic characteristic, which enabled more effective pest controlling of the pesticide delivery system. In the phytotoxicity test, the use of biodiesel as the carrier did not harm plants in any application ratios and may reduce environmental risks. Therefore, for oil-soluble AIs, biodiesel may be a suitable alternative carrier for EC formulations. In contrast to commercial formulations, the use of biodiesel may help to reduce the dosage, cost of food production and adverse effects. Biodiesel may also provide added value, be environmentally friendly, and less hazardous. Therefore, biodiesel is an advantageous carrier to deliver AIs and to improve their performance. © 2012 Taiwan Institute of Chemical Engineers."
scopus94,Guy,NO,Singh A.; Kar A.K.; Singh D.; Verma R.; Shraogi N.; Zehra A.; Gautam K.; Anbumani S.; Ghosh D.; Patnaik S.,pH-responsive eco-friendly chitosan modified cenosphere/alginate composite hydrogel beads as carrier for controlled release of Imidacloprid towards sustainable pest control,2022,Chemical Engineering Journal,427,,,10.1016/j.cej.2021.131215,"Efficacious pesticide formulations having prolonged activity with minimal environmental risks is imperative for sustainable agriculture. Control release formulation is a prudent approach towards efficient pesticide utilization with reduced environmental implications. This work embodies an innovative easy-to-prepare pesticide formulation using chitosan (Cht)-alginate (Alg)-cenosphere (Cn) composite hydrogel beads for the sustained release of imidacloprid (IMI) with added advantage of UV safeguarding of pesticide, direct on-field application and upscalability. The IMI@Cht-Alg-Cn beads showed high encapsulation efficiency of around 80%, owing to their hollow structure and porous crosslinked network. Around 80% release of pesticide over a period of 72 hr substantiates a slower release profile under different pH conditions mimicking different soil types. Excitingly, leaching study reveal a two fold slow pesticide loss of 12 % compared to a commercial formulation. Subsequent validations in a model plant system (Vigna unguiculata) signify on-field universal applicability of the efficacious formulation. A long-term safety assessment study involving a human skin cell line (HaCaT), a plant model (Vigna radiata), soil-dwelling bacteria (E. coli and B. subtilis) and a non-targeted aquatic model organism (Daphnia magna) advocates a safe-by-design approach of the hydrogel beads. A 100% efficacy against Aphis crassivora (cowpea aphid) over 48 hrs compared to commercial formulation and technical grade of IMI suggest its suitability for on field application. This work merits sustainable pesticide use by providing application-based proofs and qualifies as a potential pesticide formulation for sustainable pest management. © 2021"
scopus110,Guy,NO,Queirós L.; Bouguerra S.; Pereira R.; Macário I.P.E.; Santos J.I.; Veloso T.; Gonçalves F.J.M.; Pereira P.; Pereira J.L.,Improved efficiency of an herbicide combining bentazone and terbuthylazine – can weeds be controlled with better environmental safety?†,2022,Environmental Science: Advances,1,342,355,10.1039/d2va00036a,"Chemical herbicides have been extensively used in agriculture to control the negative impacts of weeds in crops to improve agricultural yields. Authorized herbicidal active ingredients (AIs) have been combined in multiple ways to produce distinct commercial formulations targeting diverse weeds. However, interactions between AIs and co-formulants can result in unpredictable outcomes. In addition, the efficacy against target weeds of application rates much lower than those commercially recommended has been reported. In this context, the present work intends to assess the possibility of optimizing the combination of AIs within a commercial formulation of bentazone and terbuthylazine towards alternatives with decreased environmental hazardous potential, by considering both the mixture composition and application rates. The putative interaction between bentazone and terbuthylazine (AIs), as formulated within a commercial product and in alternative ratios and rates, was assessed, first, by testing with selected aquatic (Raphidocelis subcapitata) and terrestrial (Brassica napus) non-target sensitive indicators for environmental safety assessment, and then, by assessing the corresponding efficacy against a major target weed (Portulaca oleracea). Results showed that (i) commercially recommended rates represent a remarkable potential risk to soil and also aquatic ecosystems; (ii) application rates 10-fold lower than recommended are effective in the control of the main target weed; and (iii) a one-way formulation including only bentazone, which is already available on the market, seems to represent an environmentally safer alternative to the two-way formulation in the control of P. oleracea. These outcomes suggest that a more systematic assessment of the ecotoxicity, as well as the efficacy, of the combinations of pesticides used in commercial products during design stages could ensure a good performance of the agrochemicals against the targets, while improving their environmental safety regarding impacts in non-target organisms. © 2022 The Author(s). Published by the Royal Society of Chemistry."
scopus177,Guy,YES,Forlani G.; Mantelli M.; Branzoni M.; Nielsen E.; Favilli F.,Differential sensitivity of plant-associated bacteria to sulfonylurea and imidazolinone herbicides,1995,Plant and Soil,176,243,253,10.1007/BF00011788,"The side effects of sulfonylurea and imidazolinone herbicides on plant-associated bacteria were investigated under pure culture conditions. Eighteen isolates, belonging to the genera Azotobacter, Azospirillum, Bacillus, Enterobacter Pseudomonas and Serratia, were exposed to four active compounds at concentration ranges similar to those in field soil. The sulfonylureas chlorsulfuron and rimsulfuron inhibited the growth of one of two Azospirillum and one of four Pseudomonas strains, while the imidazolinones imazapyr and imazethapyr were effective on two out of five Bacillus isolates. Surfactants in commercial formulation significantly enhanced rimsulfuron toxicity. With the exception of one Azospirillum strain, the differential tolerance of rhizobacteria to these herbicides was related to a differential sensitivity of their target, the activity of the first enzyme in branched-chain amino acid biosynthesis, acetohydroxyacid synthase (AHAS). Greenhouse pot studies were performed to assess the occurrence of inhibitory effects on bacterial growth in field conditions. Maize seedlings were bacterized with the two strains which had shown in vitro sensitivity to sulfonylureas. Following the application to the soil of a commercial formulation of rimsulfuron at rates of 0, 0.2 and 0.5 μmol a.i. kg-1, significative differences in the resulting degree of bacterial root colonization were found. Moreover, upon co-inoculation with two strains, one tolerant and one sensitive to the herbicide, the presence of rimsulfuron significantly enhanced root occupancy by resistant bacteria, suggesting that shifts in the microbial community structure of crop rhizosphere could indeed result as a consequence of weed control by AHAS inhibitors. © 1995 Kluwer Academic Publishers."
scopus199,Guy,YES,Mesnage R.; Antoniou M.N.,Ignoring Adjuvant Toxicity Falsifies the Safety Profile of Commercial Pesticides,2018,Frontiers in Public Health,5,,,10.3389/fpubh.2017.00361,"Commercial formulations of pesticides are invariably not single ingredients. Instead they are cocktails of chemicals, composed of a designated pesticidal “active principle” and “other ingredients,” with the latter collectively also known as “adjuvants.” These include surfactants, antifoaming agents, dyes, etc. Some adjuvants are added to influence the absorption and stability of the active principle and thus promote its pesticidal action. Currently, the health risk assessment of pesticides in the European Union and in the United States focuses almost exclusively on the stated active principle. Nonetheless, adjuvants can also be toxic in their own right with numerous negative health effects having been reported in humans and on the environment. Despite the known toxicity of adjuvants, they are regulated differently from active principles, with their toxic effects being generally ignored. Adjuvants are not subject to an acceptable daily intake, and they are not included in the health risk assessment of dietary exposures to pesticide residues. Here, we illustrate this gap in risk assessment by reference to glyphosate, the most used pesticide active ingredient. We also investigate the case of neonicotinoid insecticides, which are strongly suspected to be involved in bee and bumblebee colony collapse disorder. Authors of studies sometimes use the name of the active principle (for example glyphosate) when they are testing a commercial formulation containing multiple (active principle plus adjuvant) ingredients. This results in confusion in the scientific literature and within regulatory circles and leads to a misrepresentation of the safety profile of commercial pesticides. Urgent action is needed to lift the veil on the presence of adjuvants in food and human bodily fluids, as well as in the environment (such as in air, water, and soil) and to characterize their toxicological properties. This must be accompanied by regulatory precautionary measures to protect the environment and general human population from some toxic adjuvants that are currently missing from risk assessments. © Copyright © 2018 Mesnage and Antoniou."
scopus221,Guy,YES,Kurenbach B.; Gibson P.S.; Hill A.M.; Bitzer A.S.; Silby M.W.; Godsoe W.; Heinemann J.A.,Herbicide ingredients change Salmonella enterica sv. Typhimurium and Escherichia coli antibiotic responses,2017,Microbiology (United Kingdom),163,1791,1801,10.1099/mic.0.000573,"Herbicides are frequently released into both rural and urban environments. Commercial herbicide formulations induce adaptive changes in the way bacteria respond to antibiotics. Salmonella enterica sv. Typhimurium and Escherichia coli were exposed to common co-formulants of formulations, and S. enterica sv. Typhimurium was exposed to active ingredients dicamba, 2,4-D and glyphosate to determine what ingredients of the commercial formulations caused this effect. Coformulants Tween80 and carboxymethyl cellulose induced changes in response, but the pattern of the responses differed from the active ingredients, and effect sizes were smaller. A commercial wetting agent did not affect antibiotic responses. Active ingredients induced changes in antibiotic responses similar to those caused by complete formulations. This occurred at or below recommended application concentrations. Targeted deletion of efflux pump genes largely neutralized the adaptive response in the cases of increased survival in antibiotics, indicating that the biochemistry of induced resistance was the same for formulations and specific ingredients. We found that glyphosate, dicamba, and 2,4-D, as well as co-formulants in commercial herbicides, induced a change in susceptibility of the potentially pathogenic bacteria E. coli and S. enterica to multiple antibiotics. This was measured using the efficiency of plating (EOP), the relative survival of the bacteria when exposed to herbicide and antibiotic, or just antibiotic, compared to survival on permissive media. This work will help to inform the use of non-medicinal chemical agents that induce changes in antibiotic responses. © 2017 The Authors."
scopus232,Guy,NO,Giglio A.; Vommaro M.L.,Dinitroaniline herbicides: a comprehensive review of toxicity and side effects on animal non-target organisms,2022,Environmental Science and Pollution Research,29,76687,76711,10.1007/s11356-022-23169-4,"The widespread use of herbicides has increased concern about the hazards and risks to animals living in terrestrial and aquatic ecosystems. A comprehensive understanding of their effective action at different levels of biological organization is critical for establishing guidelines to protect ecosystems and human health. Dinitroanilines are broad-spectrum pre-emergence herbicides currently used for weed control in the conventional agriculture. They are considered extremely safe agrochemicals because they act specifically on tubulin proteins and inhibit shoot and root growth of plants. However, there is a lack of toxicity information regarding the potential risk of exposure to non-target organisms. The aim of the present review is to focus on side effects of the most commonly used active ingredients, e.g. pendimethalin, oryzalin, trifluralin and benfluralin, on animal non-target cells of invertebrates and vertebrates. Acute toxicity varies from slightly to high in terrestrial and aquatic species (i.e. nematodes, earthworms, snails, insects, crustaceans, fish and mammals) depending on the species-specific ability of tested organisms to adsorb and discharge toxicants. Cytotoxicity, genotoxicity and activation of oxidative stress pathways as well as alterations of physiological, metabolic, morphological, developmental and behavioural traits, reviewed here, indicate that exposure to sublethal concentrations of active ingredients poses a clear hazard to animals and humans. Further research is required to evaluate the molecular mechanisms of action of these herbicides in the animal cell and on biological functions at multiple levels, from organisms to communities, including the effects of commercial formulations. © 2022, The Author(s)."
scopus258,Guy,YES,Queirós L.; Aguiar N.; Pereira P.; Gonçalves F.J.M.; Alves A.; Pereira J.L.,Recommended rates of azoxystrobin and tebuconazole seem to be environmentally safe but ineffective against target fungi,2023,Ecotoxicology,32,102,113,10.1007/s10646-023-02619-w,"The use of fungicides in agriculture has been playing a role in the enhancement of agricultural yields through the control of pathogens causing serious diseases in crops. Still, adverse environmental and human health effects resulting from its application have been reported. In this study, the possibility of readjusting the formulation of a commercial product combining azoxystrobin and tebuconazole (active ingredients – AIs; Custodia®) towards environmentally safer alternative(s) was investigated. Specifically, the sensitivity of non-target aquatic communities to each AI was first evaluated by applying the Species Sensitivity Distributions (SSDs) approach. Then, mixtures of these AIs were tested in a non-target organism (Raphidocelis subcapitata) denoting sensitivity to both AIs as assessed from SSDs. The resulting data supported the design of the last stage of this study, where mixtures of those AIs at equivalent vs. alternative ratios and rates as in the commercial formulation were tested against two target fungal species: Pyrenophora teres CBS 123929 and Rhynchosporium secalis CBS 110524. The comparison between the sensitivity of non-target aquatic species and the corresponding efficacy towards target fungi revealed that currently applied mixture and rates of these AIs are generally environmentally safe (antagonistic interaction; concentrations below the EC1 for R. subcapitata and generally below the HC5 for aquatic non-target communities), but ineffective against target organisms (maximum levels of inhibition of 70 and 50% in P. teres CBS 123929 and R. secalis CBS 110524, respectively). Results additionally suggest a potentiation of the effects of the AIs by the other formulants added to the commercial product at tested rates. Overall, this study corroborates that commercial products can be optimized during design stages based on a systematic ecotoxicological testing for ingredient interactions and actual efficacy against targets. This could be a valuable pathway to reduce environmental contamination during transition to a more sustainable agricultural production. © 2023, The Author(s)."
scopus261,Guy,NO,Bernardino M.M.; Alves P.R.L.; de Santo F.B.; Niemeyer J.C.; Leal R.M.P.,Ecotoxicity of imidacloprid to soil invertebrates in two tropical soils with contrasting texture,2021,Environmental Science and Pollution Research,28,27655,27665,10.1007/s11356-021-12562-0,"Imidacloprid is one of the most commercialized insecticides in agriculture in the world, with a broad spectrum of action. However, little is known about the effects of commercial formulations containing this active ingredient (a.i.) on non-target organisms in tropical soils. Our objective was to assess the toxicity based on the predicted environmental concentration (PEC) of imidacloprid, in the avoidance behaviour of earthworms and collembolans as well as in the reproduction of collembolans, in two representative soils of the Brazilian Cerrado with contrasting texture (clayey Oxisol and sandy Entisol). Ecotoxicity tests were carried out according to ISO protocols to assess the avoidance behaviour of earthworms (Eisenia andrei) and avoidance and reproduction of collembolans (Folsomia candida). In the earthworm’s avoidance test, more than 80% of the individuals were found in the control, in all tested concentrations, indicating a possible habitat function loss in both soils. The avoidance behaviour of collembolans was observed in both soils, being more expressive (up to 75% of escape) in Oxisol. In Entisol, only the two highest concentrations were avoided (up to 63%). There was a negative effect on the reproduction of collembolans in both soils, with a higher EC50 value (0.255 mg kg−1) in Oxisol than in Entisol (0.177 mg kg−1), demonstrating higher toxicity in the sandy soil. These differences were attributed to the contrasting texture of the studied soils, probably due to lower retention of the a.i. in the sandy soil, causing an increased bioavailability. This study demonstrated that imidacloprid can be highly toxic to soil invertebrates, even in soil concentrations lower than those expected from recommended dose, causing an impact on the edaphic organisms and, consequently, compromising its functions in the soil ecosystem. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH, DE part of Springer Nature."
