STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
wos2,Guy,YES,"WILLIAMSON, EG; LONG, SF; KALLMAN, MJ; WILSON, MC",A COMPARATIVE-ANALYSIS OF THE ACUTE TOXICITY OF TECHNICAL-GRADE PYRETHROID INSECTICIDES AND THEIR COMMERCIAL FORMULATIONS,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,NA,1989,18,27,34,http://dx.doi.org/10.1016/0147-6513(89)90089-4
wos5,Guy,YES,"Saenz, ME; DiMarzio, WD; Alberdi, JL; Tortorelli, MD",Effects of technical grade and a commercial formulation of glyphosate on algal population growth,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,NA,1997,59,638,644,http://dx.doi.org/10.1007/s001289900527
wos7,Guy,YES,"KOZLOWSK.TT; SASAKI, S",EFFECTS OF DIRECT CONTACT OF PINE SEEDS OR YOUNG SEEDLINGS WITH COMMERCIAL FORMULATIONS ACTIVE INGREDIENTS OR INERT INGREDIENTS OF TRIAZINE HERBICIDES,CANADIAN JOURNAL OF PLANT SCIENCE,NA,1968,48,1,&,http://dx.doi.org/10.4141/cjps68-001
wos9,Guy,NO,"Matozzo, V; Fabrello, J; Marin, MG",The Effects of Glyphosate and Its Commercial Formulations to Marine Invertebrates: A Review,JOURNAL OF MARINE SCIENCE AND ENGINEERING,"Glyphosate is the active ingredient of numerous commercial formulations of herbicides applied in different sectors, from agriculture to aquaculture. Due to its widespread use around the world, relatively high concentrations of glyphosate have been detected in soil and aquatic environments. The presence of glyphosate in aquatic ecosystems has aroused the attention of researchers because of its potential negative effects on living organisms, both animals and plants. In this context, this review intends to summarize results of studies aimed at evaluating the effects of glyphosate (both as active ingredient and component of commercial formulations) on marine invertebrates. Generally, data obtained in acute toxicity tests indicate that glyphosate and its commercial formulations are lethal at high concentrations (not environmentally realistic), whereas results of long-lasting experiments indicate that glyphosate can markedly affect biological responses of marine invertebrates. Consequently, more efforts should be addressed at evaluating chronic or sub-chronic effects of such substances to marine invertebrate species.",2020,8,NA,NA,http://dx.doi.org/10.3390/jmse8060399
wos15,Guy,YES,"Chaufan, G; Coalova, I; de Molina, MDR","Glyphosate Commercial Formulation Causes Cytotoxicity, Oxidative Effects, and Apoptosis on Human Cells: Differences With its Active Ingredient",INTERNATIONAL JOURNAL OF TOXICOLOGY,NA,2014,33,29,38,http://dx.doi.org/10.1177/1091581813517906
wos31,Guy,NO,"Garcia-Ripoll, A; Arques, A; Vicente, R; Domenech, A; Amat, AM",Treatment of aqueous solutions containing four commercial pesticides by means of TiO2 solar photocatalysis,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,"Metasystox, Ultracid, Sevnol, and Laition are commercial pesticides, whose active ingredients are, respectively, oxydemethon-methyl, methidathion, carbaryl, and dimethoate. Laboratory scale experiments were carried out to treat solutions of the pure active ingredient and the commercial formulation employing a solar simulator as irradiation source. Degradation of the active ingredient followed in all cases a pseudo-first-order kinetic and rate constants, k, indicated that reaction was faster when the thiophosphate moiety was present. Additives existing in the commercial formulations resulted in an important decrease in the reaction rate, as k values were at least 50% lower than those obtained with the corresponding pure active principle (0.013 min(-1) for Ultracid and 0.033 min(-1) for methidathion, 0.011 min(-1) for Laition and 0.026 min(-1) for dimethoate, and 0.007 min(-1) for Sevnol and 0.016 min(-1) for carbaryl). Important increase in the surface tension was measured in all cases, indicating that the photocatalytic treatment is able to remove the surface active species present in the commercial formulation. Finally, assays based on the inhibition of the respiration of activated sludge indicated a decrease in the toxicity of all four commercial mixtures from initial values in the range 40-80% to achieve complete detoxification when the elimination of the active ingredient is reached.",2008,130,NA,NA,http://dx.doi.org/10.1115/1.2969810
wos32,Guy,NO,"Pose-Juan, E; Rial-Otero, R; Paradelo, M; Simal-Gandara, J; Arias, M; Lopez-Periago, JE",Behaviour of metalaxyl as copper oxychloride-metalaxyl commercial formulation vs. technical grade-metalaxyl in vineyards-devoted soils,JOURNAL OF HAZARDOUS MATERIALS,"The objective of this work is to asses the sorption of metalaxyl applied as a copper oxychloride (CO)-metalaxyl formulation, for a set of selected soils devoted to vineyards. The method involved batch incubation of soils suspended with a commercial copper oxychloride-metalaxyl-based fungicide in 0.01 M CaCl2. Afterwards, the metalaxyl concentration remaining in solution was determined by high-performance liquid chromatography (HPLC). The amount of dissolved metalaxyl in the fungicide suspension depends mainly on the soil pH, its potential acidity, and the cation exchange capacity. Of the approx. 20% metalaxyl retained by the solid colloids, the effect of organic matter colloids in soils (15-20 mg kg(-1)) had a poor contribution (six times lower) than the copper oxychloride colloids (40%, w/w)in the commercial fungicide formulation (100-130 mg kg(-1)). When comparing these retention data with the behaviour of metalaxyl used as a technical grade fungicide of about 100% purity (10-15 mg kg(-1) in solids), it is clear that the commercial formulation increases a 30% retention of metalaxyl by soil (15-20 mg kg(-1) in solids). The overall effect of the metalaxyl formulation plus soil show values of 10 times higher retention than technical grade-metalaxyl plus soil. Commercial formulation can decrease the mobility of soluble metalaxyl in agricultural soils with regard to the expected values obtained from batch studies using analytical grade-metalaxyl. Therefore, the effect of surfactants should be considered in the assessment of water contamination by the pesticides used in agriculture. (C) 2009 Elsevier B.V. All rights reserved.",2010,174,181,187,http://dx.doi.org/10.1016/j.jhazmat.2009.09.034
wos129,Guy,NO,"Mesnage, R; Antoniou, MN",Ignoring Adjuvant Toxicity Falsifies the Safety Profile of Commercial Pesticides,FRONTIERS IN PUBLIC HEALTH,"Commercial formulations of pesticides are invariably not single ingredients. Instead they are cocktails of chemicals, composed of a designated pesticidal active principle and other ingredients, with the latter collectively also known as adjuvants. These include surfactants, antifoaming agents, dyes, etc. Some adjuvants are added to influence the absorption and stability of the active principle and thus promote its pesticidal action. Currently, the health risk assessment of pesticides in the European Union and in the United States focuses almost exclusively on the stated active principle. Nonetheless, adjuvants can also be toxic in their own right with numerous negative health effects having been reported in humans and on the environment. Despite the known toxicity of adjuvants, they are regulated differently from active principles, with their toxic effects being generally ignored. Adjuvants are not subject to an acceptable daily intake, and they are not included in the health risk assessment of dietary exposures to pesticide residues. Here, we illustrate this gap in risk assessment by reference to glyphosate, the most used pesticide active ingredient. We also investigate the case of neonicotinoid insecticides, which are strongly suspected to be involved in bee and bumblebee colony collapse disorder. Authors of studies sometimes use the name of the active principle (for example glyphosate) when they are testing a commercial formulation containing multiple (active principle plus adjuvant) ingredients. This results in confusion in the scientific literature and within regulatory circles and leads to a misrepresentation of the safety profile of commercial pesticides. Urgent action is needed to lift the veil on the presence of adjuvants in food and human bodily fluids, as well as in the environment (such as in air, water, and soil) and to characterize their toxicological properties. This must be accompanied by regulatory precautionary measures to protect the environment and general human population from some toxic adjuvants that are currently missing from risk assessments.",2018,5,NA,NA,http://dx.doi.org/10.3389/fpubh.2017.00361
wos166,Guy,NO,"Gill, JPK; Sethi, N; Mohan, A; Datta, S; Girdhar, M",Glyphosate toxicity for animals,ENVIRONMENTAL CHEMISTRY LETTERS,"Pesticides and herbicides gained popularity due to a strong need to curb the starvation of billions of humans. Glyphosate is the most commonly used herbicide and was considered to be non-toxic. But its use in excess in agricultural lands has polluted soils and waters. Nowadays, glyphosate residues are found in soil, water and food. As a result glyphosate causes severe acute and chronic toxicological effects. We review toxicological effects of glyphosate and metabolites on organisms of the kingdom animalia, both unicellular and multicellular organisms. Adverse effects on unicellular organisms have been established in many experiments. For instance, glyphosate has reduced the rate of photosynthesis in Euglena, has decreased the radial growth of mycorrhizal fungal species and is also reducing the profusion of certain bacteria present in rhizospheric microbial communities. Glyphosate poses serious threat to multicellular organisms as well. Its toxicological effects have been traced from lower invertebrates to higher vertebrates. Effects have been observed in annelids (earthworms), arthropods (crustaceans and insects), mollusks, echinoderms, fish, reptiles, amphibians and birds. Toxicological effects like genotoxicity, cytotoxicity, nuclear aberration, hormonal disruption, chromosomal aberrations and DNA damage have also been observed in higher vertebrates like humans.",2018,16,401,426,http://dx.doi.org/10.1007/s10311-017-0689-0
wos167,Guy,NO,"KIRKWOOD, RC",USE AND MODE OF ACTION OF ADJUVANTS FOR HERBICIDES - A REVIEW OF SOME CURRENT WORK,PESTICIDE SCIENCE,"The use of surfactants, mineral and vegetable oils, emulsifiers and fertiliser salts, such as ammonium sulfate, can greatly enhance the activity of foliage-applied herbicides. Adjuvant-herbicide interactions are reviewed with particular reference to the benefits, including dose reduction, enhanced and more consistent herbicide activity, and the nature of underlying mechanisms; the use and role of surfactants receive particular attention. Surfactants are used as activators in commercial formulations of many herbicides to improve their foliar absorption and ultimate biological activity. Current views on their influence are considered in relation to surface phenomena, solubilisation of non-polar active ingredients, wax dissolution, cuticle penetration, preferential sites of penetration, membrane permeability and possible systemicity. The importance of a number of moderating factors (plant, chemical and environmental) is discussed in the light of current work, with particular regard to herbicide polarity, surfactant type, Hydrophile-Lipophile Balance and critical micelle concentration. Current studies on the influence of nonionic polyoxyethylene surfactants of differing ethylene oxide (EO) content have underlined the importance of EO number to their activity.",1993,38,93,102,http://dx.doi.org/10.1002/ps.2780380205
