STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI,MORTALITY_SURVIVAL_ORGANISM_VIABILITY,LD50_WITH_CI_AVAILABLE,DATA_REQUEST_REQUIRED,OTHER_ENDPOINTS_STUDIED,COMMENTS
wos1144,Guy,YES,"Dehnert, GK; Karasov, WH; Wolman, MA",24 dichlorophenoxyacetic acid containing herbicide impairs essential visually guided behaviors of larval fish,AQUATIC TOXICOLOGY,"Aquatic herbicides are used worldwide to eradicate nuisance and invasive plants despite limited knowledge of their toxicity to non-target organisms. 2,4-Dichlorophenoxyacetic acid (2,4-D) is a common active ingredient in commercial herbicide formulations, which triggers plant cell death by mimicking the plant-specific hormone auxin. Application practices of 2,4-D commercial herbicides typically coincide with yearly freshwater fish spawning periods. This practice exposes fish to xenobiotics at their vulnerable larval stages. The full impacts of 2,4-D on larval fish remains poorly understood, and hence, whether it may alter larval survival, larval behavior, fish populations, and ecosystem dynamics. In the present study, we exposed embryonic and larval zebrafish (Danio rerio) to the active ingredient 2,4-D (pure 2,4-D) or a 2,4-D containing commercial herbicide DMA4 (R) IVM (DMA4) and evaluated morphology, survival, behavior, and nervous system function. At 2,4-D concentrations producing no overt morphological defects during embryonic or early larval stages, we observed reduced survival throughout a 21-day larval assay (4-8 ppm DMA4 and 0.75-4 ppm pure 2,4-D). Notably, prey capture, a behavior essential to survival, was reduced in 2,4-D-exposed larval zebrafish (4-8 ppm DMA4 and 0.75-4 ppm pure 2,4-D) and yellow perch (Perca flavescens) (4-20 ppm DMA4). In zebrafish, 8 ppm DMA4 exposure reduced prey capture when exposure was restricted to the period of visual system development. Consistent with these results, larval zebrafish exposed to 8 ppm DMA4 showed reduced neural activity within the optic tectum following prey exposure. Together, our results suggest that 2,4-D alters the development and function of neural circuits underlying vision of larval fish, and thereby reduces visually guided behaviors required for survival.",2019,209,1,12,http://dx.doi.org/10.1016/j.aquatox.2019.01.015,YES,YES,NO,MORPHOLOGY/BEHAVIOUR/DEVELOPMENT,n/a
wos2,Guy,YES,"WILLIAMSON, EG; LONG, SF; KALLMAN, MJ; WILSON, MC",a comparative analysis of the acute toxicity of technical grade pyrethroid insecticides and their commercial formulations,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,NA,1989,18,27,34,http://dx.doi.org/10.1016/0147-6513(89)90089-4,YES,YES,NO,n/a,n/a
wos104,Guy,YES,"Garate, OF; Gazzaniga, S; Cochon, AC",a comparative study of enzymatic and immunological parameters in planorbarius corneus and biomphalaria glabrata exposed to the organophosphate chlorpyrifos,AQUATIC TOXICOLOGY,"This study aimed to investigate the acute effects of chlorpyrifos on biomarkers related to neurotoxicity and immunotoxicity in two allopatric freshwater gastropod species belonging to the family Planorbidae. For this purpose, Planorbarius corneus and Biomphalaria glabrata were exposed to chlorpyrifos (active ingredient or commercial formulation) for 48 h at environmentally realistic concentrations (1 and 7.5 mu g L-1). Basal acetylcholinesterase activity in soft tissues and hemolymph was almost one order of magnitude higher in P. corneus than in B. glabrata. However, upon chlorpyrifos exposure, statistically significant inhibition of enzymatic activity was registered in both species. Acetylcholinesterase was more sensitive to inhibition in soft tissues than in hemolymph. The highest inhibition was observed in the B. glabrata soft tissues exposed to the commercial formulation (88 % at 1 mu g L-1 and 93 % at 7.5 mu g L-1). Hemocyte number and lysosomal membrane stability did not show significant changes with respect to controls in any of the exposed groups. Superoxide anion generation was diminished (21-46 %) in P. corneus hemocytes exposed to the active ingredient and in B. glabrata hemocytes exposed to the active ingredient or the formulation. In contrast, hemocyte phagocytic activity increased in all exposed groups. Phagocytosis was most stimulated (89 %) in hemocytes sampled from B. glabrata treated with 7.5 mu g L-1 chlorpyrifos. Altogether the results suggest that the freshwater gastropods P. corneus and B. glabrata are suitable model animals for environmental monitoring studies in the Northern Hemisphere and Latin America, respectively. Furthermore, these results add information on the relevance of testing pesticide formulations and on the usefulness of acetylcholinesterase inhibition and immunological parameters as biomarkers of the acute effects of chlorpyrifos in these species.",2020,225,NA,NA,http://dx.doi.org/10.1016/j.aquatox.2020.105544,NO,NO,NO,ENZYME ACTIVITY,n/a
wos850,Guy,YES,"Grisolia, CK; Bilich, MR; Formigli, LM",a comparative toxicologic and genotoxic study of the herbicide arsenal its active ingredient imazapyr and the surfactant nonylphenol ethoxylate,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,"The herbicide arsenal 250 NA, its technical-grade active ingredient imazapyr, and the surfactant nonylphenol ethoxylate (NP) were evaluated through genotoxicity and toxicity studies in different organisms. A comparative study of these three compounds was carried out to assess how the addition of surfactant components may pose the highest toxicological risk to pesticide formulations. The results showed that arsenal, imazapyr, and NP did not cause chromosome aberration in Allium cepa nor increase the frequency of micronuclei in mice. However, toxicological evaluations showed that NP was the most toxic compound to mice, A. cepa, Drosophila melanogaster, and Biomphalaria tenagophila. In this evaluation, it was observed that the adverse effects were produced by the surfactant additive of the pesticide formulation. (C) 2004 Elsevier Inc. All rights reserved.",2004,59,123,126,http://dx.doi.org/10.1016/j.ecoenv.2004.01.014,YES,NO,YES,GENOTOXICITY,n/a
wos2170,Guy,YES,"Prudkin-Silva, C; Lanzarotti, E; Alvarez, L; Vallerga, MB; Factorovich, M; Morzan, UN; Gomez, MP; Gonzalez, NP; Acosta, YM; Carrizo, F; Carrizo, E; Galeano, S; Lagorio, MG; Juarez, AB; Ithuralde, RE; Romero, JM; Urdampilleta, CM",a cost effective algae based biosensor for water quality analysis: development and testing in collaboration with peasant communities,ENVIRONMENTAL TECHNOLOGY & INNOVATION,"New anthropic potentially harmful compounds are released into the environment everyday. In this context, broad range bioassays have emerged providing economically viable and widely applicable alternatives due to their ability to detect the cumulative toxicity of mixtures of both known and unknown chemicals in a sample, thus allowing direct information about water quality. Here we present a low-cost, wide-range algae-based biosensor that is easy to assemble and operate by untrained users and provides direct readings. It was developed as a request of a peasant social movement organization to assess the toxicity of drinking water in rural communities affected by pesticide spraying. Two fresh water algae strains, Scenedesmus acutus and Pseudokirchneriella subcapitata, were immobilized in alginate beads and tested as bioindicators. After incubation with different pollutants for five days, naked eye analysis by several observers proved to be a successful method to survey algae's growth and establish the detection limits. Best detection limits were 10 ppm for technical-grade acid glyphosate, 15 ppm for glyphosate-based formulation, 50 ppb for atrazine formulation, 7.5 ppm for copper and 250 ppb for chromium. Absorbance measurements upon algae resuspension validated these results. The developed device was successfully tested in participatory workshops conducted at rural communities. Children, adults and elders with no scientific training were able to build the sensor and interpret the results, thus evaluating the quality of rain and well water used in their communities. (c) 2021 Elsevier B.V. All rights reserved.",2021,22,NA,NA,http://dx.doi.org/10.1016/j.eti.2021.101479,YES,NO,YES,n/a,n/a
wos1032,Guy,YES,"Simasotchi, C; Chissey, A; Jungers, G; Fournier, T; Seralini, GE; Gil, S",a glyphosate based formulation but not glyphosate alone alters human placental integrity,TOXICS,"Glyphosate (G)-based herbicidal formulations, such as the most commonly used one, Roundup (R), are major pesticides used worldwide on food and feed. Pregnant women may be frequently exposed to R compounds. These are composed of G, which is declared as the active principle, and other products contained in formulations, named formulants, which have been declared as inerts and diluents by the manufacturers. These formulants have, in fact, been demonstrated to be much more toxic than G, in particular to placental and embryonic human cells. In this work, we thus compared the effect of G and a GT+ formulation named R, using placental perfusion ex vivo. R, but not G alone, was demonstrated to alter the placental permeability of a known small model molecule, antipyrine. Similar results were observed for the fetal venous flow rate. The transfer of G alone increases with time, but is significantly decreased in presence of its formulants. The perfusion of R provokes a destruction of fetal vessels, as demonstrated by immunohistochemistry. Formulants obviously alter the fetal-placental circulation and placental integrity according to time of exposure. Therefore, G does not appear to be the main toxic agent of R. Formulants, although undeclared, include polyoxyethanolamines, PAHs, or heavy metals, and may be responsible for this toxicity. These compounds are also present in other pesticides. The progressive blood flow reduction due to the toxic compounds of formulations may diminish the nutrient supply to the fetus, alter the development, and may enhance the poisoning effects. Although these are preliminary results, they could at least partially explain some adverse pregnancy outcomes in mothers exposed to pesticides or other environmental pollutants. The debate on glyphosate alone is proven insufficient for the understanding of the toxicity.",2021,9,NA,NA,http://dx.doi.org/10.3390/toxics9090220,NO,NO,NO,FAETAL POISONING,n/a
wos1903,Guy,YES,"Clair, E; Mesnage, R; Travert, C; Seralini, GE",a glyphosate based herbicide induces necrosis and apoptosis in mature rat testicular cells in vitro and testosterone decrease at lower levels,TOXICOLOGY IN VITRO,"The major herbicide used worldwide, Roundup, is a glyphosate-based pesticide with adjuvants. Glyphosate, its active ingredient in plants and its main metabolite (AMPA) are among the first contaminants of surface waters. Roundup is being used increasingly in particular on genetically modified plants grown for food and feed that contain its residues. Here we tested glyphosate and its formulation on mature rat fresh testicular cells from 1 to 10000 ppm, thus from the range in some human urine and in environment to agricultural levels. We show that from 1 to 48 h of Roundup exposure Leydig cells are damaged. Within 24-48 h this formulation is also toxic on the other cells, mainly by necrosis, by contrast to glyphosate alone which is essentially toxic on Sertoli cells. Later, it also induces apoptosis at higher doses in germ cells and in Sertoli/germ cells co-cultures. At lower non toxic concentrations of Roundup and glyphosate (1 ppm), the main endocrine disruption is a testosterone decrease by 35%. The pesticide has thus an endocrine impact at very low environmental doses, but only a high contamination appears to provoke an acute rat testicular toxicity. This does not anticipate the chronic toxicity which is insufficiently tested, and only with glyphosate in regulatory tests. (C) 2011 Elsevier Ltd. All rights reserved.",2012,26,269,279,http://dx.doi.org/10.1016/j.tiv.2011.12.009,NO,NO,NO,CYTOTOXICITY,n/a
wos309,Guy,YES,"Santos, SW; Gonzalez, P; Cormier, B; Mazzella, N; Bonnaud, B; Morin, S; Clerandeau, C; Morin, B; Cachot, J",a glyphosate based herbicide induces sub lethal effects in early life stages and liver cell line of rainbow trout oncorhynchus mykiss,AQUATIC TOXICOLOGY,"Most pesticides used in agriculture end up in the aquatic environment through runoff and leaching of treated crops. One of the most commonly used herbicides is glyphosate. This compound or its metabolites are frequently detected in surface water in Europe. In the present study, in vivo and in vitro studies were carried out using the early life stages of rainbow trout (Oncorhynchus mykiss) and the cell line RTL-W1 (a liver cell line from rainbow trout) to characterize the toxic effects of glyphosate at environmentally-realistic concentrations. Both studies were performed using the commercial formulation Roundup (R) GT Max, and technical-grade glyphosate for the in vitro study. Eyed-stage embryos were exposed for 3 weeks to sub-lethal concentrations (0.1 and 1 mg/L) of glyphosate using Roundup. Numerous toxicity endpoints were recorded such as survival, hatching success, larval biometry, developmental abnormalities, swimming activity, genotoxicity (formamidopyrimidine DNA-glycosylase Fpg-modified comet assay), lipid peroxidation (TBARS), protein carbonyls and target gene transcription. Concentrations neither affected embryonic or larval survival nor increased developmental abnormalities. However, a significant decrease was observed in the head size of larvae exposed to 1 mg/L of glyphosate. In addition, a significant increase in mobility was observed for larvae exposed to glyphosate at 0.1 mg/L. TSARS levels were significantly decreased on larvae exposed to 1 mg/L (a.i.), and cat and cox1 genes were differently transcribed from controls. DNA damage was detected by the Fpg-modified comet assay in RTL-W1 cell line exposed to the technical-grade glyphosate and Roundup formulation. The results suggest that chronic exposure to glyphosate, at environmental concentrations, could represent a potential risk for early life stages of fish.",2019,216,NA,NA,http://dx.doi.org/10.1016/j.aquatox.2019.105291,NO,NO,NO,CYTOTOXICITY,n/a
wos1303,Guy,YES,"Bonfanti, P; Saibene, M; Bacchetta, R; Mantecca, P; Colombo, A",a glyphosate micro emulsion formulation displays teratogenicity in xenopus laevis,AQUATIC TOXICOLOGY,"Glyphosate is the active ingredient in broad-spectrum herbicide formulations used in agriculture, domestic area and aquatic weed control worldwide. Its market is growing steadily concurrently with the cultivation of glyphosate-tolerant transgenic crops and emergence of weeds less sensitive to glyphosate. Ephemeral and lentic waters near to agricultural lands, representing favorite habitats for amphibian reproduction and early life-stage development, may thus be contaminated by glyphosate based herbicides (GBHs) residues. Previous studies on larval anuran species highlighted increased mortality and growth effects after exposure to different GBHs in comparison to glyphosate itself, mainly because of the surfactants such as polyethoxylated tallow amine present in the formulations. Nevertheless, these conclusions are not completely fulfilled when the early development, characterized by primary organogenesis events, is considered. In this study, we compare the embryotoxicity of Roundup((R)) Power 2.0, a new GBH formulation currently authorized in Italy, with that of technical grade glyphosate using the Frog Embryo Teratogenesis Assay Xenopus (FETAX). Our results evidenced that glyphosate was not embryolethal and only at the highest concentration (50 mg a.e./L) caused edemas. Conversely, Roundup((R)) Power 2.0 exhibited a 96 h LC50 of 24.78 mg a.e./L and a 96 h EC50 of 7.8 mg a.e./L. A Teratogenic Index of 3.4 was derived, pointing out the high teratogenic potential of the Roundup((R)) Power 2.0. Specific concentration-dependent abnormal phenotypes, such as craniofacial alterations, microphthalmia, narrow eyes and forebrain regionalization defects were evidenced by gross malformation screening and histopathological analysis. These phenotypes are coherent with those evidenced in Xenopus laevis embryos injected with glyphosate, allowing us to hypothesize that the teratogenicity observed for Roundup((R)) Power 2.0 may be related to the improved efficacy in delivering glyphosate to cells, guaranteed by the specific surfactant formulation. In conclusion, the differences in GBH formulations should be carefully considered by the authorities, since sub-lethal and/or long-term effects (e.g. teratogenicity) can be significantly modulated by the active ingredient salt type and concentration of the adjuvants. Finally, the mechanistic toxicity of glyphosate and GBHs are worthy of further research.",2018,195,103,113,http://dx.doi.org/10.1016/j.aquatox.2017.12.007,YES,YES,NO,DEVELOPMENT,n/a
wos1405,Guy,YES,"de Avilae, RI; Santos, SC; Siino, V; Levander, F; Lindstedt, M; Zeller, KS",a proteomics dataset capturing myeloid cell responses upon cellular exposure to fungicides adjuvants and fungicide formulations,DATA IN BRIEF,"Dendritic cells are the sentinels of the immune system, link-ing the innate and adaptive immune response. Myeloid and dendritic cell models have been successfully used in in vitro approaches to predict adverse outcomes such as skin sensi-tization. We here exposed a well-characterized human den-dritic cell-like cell line to agricultural chemicals, including fungicide formulations, active ingredients, adjuvants and de-fined mixtures for 24 h to profile induced changes on protein levels. Cell pellets were harvested and prepared for bottom -up label-free analysis with peptide separation on an EASY -nano LC system 1200 coupled online with a QExactive HF-X mass spectrometer with data-dependent acquisition (DDA). The raw data files and processed quantitative data have been deposited to ProteomeXchange with the data identification number PXD034624 and are described here. The data in this article may serve as a resource for researchers interested in e.g. human toxicology, immunology, cell biology and pharma-cology.(c) 2023 The Author(s). Published by Elsevier Inc. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)",2023,46,NA,NA,http://dx.doi.org/10.1016/j.dib.2022.108878,NO,NO,NO,n/a,n/a
